voter,choice,created,vote_id,title,proposal_id
0xdB0E387CE7158d84486e7DC7B828Ff9C351DFAB8,1.0,1620396486,QmZ6yzVFC5WKgiNtyZumvSFiqUx3aHfmtxmJ73HkEYRs86,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xa0cA69A35C77aB43F39E3439539a098a948552c6,1.0,1620396257,QmVNDE5LSYg5J6hMpxmVJgXEJmypyQfuqWD46HNf9HRfJ6,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x2E7B037020C642471620f2caeEF77F77dA904CEA,1.0,1620395726,Qmf8JgmTxBRWjtgn4GARWrmJVzZ7yUNV2aby6pbEKaNYVp,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x7e86d59a71189Cce55F692B14Ef4Bed389aB2712,1.0,1620395284,QmeQzAB78b7PNZnjQ4xhEW77KdgjppwM5YmNMA9i4g33yt,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x644C298de50810D08d6eC4Ff430a89d7f7d186E2,1.0,1620394047,QmV8Bm9HcUfThB24ZZ72mZmN6q5sbJxgegw1u8wsKP6nRM,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x6254Ec0CcfC603FD1e1035Aa3d224490C9a89c73,1.0,1620393894,QmRFpSuze7dytrN2siBvFk8DZqWdgYrbXMJawNVebDBEfz,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xe7EddaA6bd37849a8A39CD963b1da137032C9146,1.0,1620393094,QmTVX8Z3C9hpcGPViBDSFzTEFuMF8eqG972hbhjrzpp7Di,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xE4664Cb4DCCEB441D816cf80c0F9758036222aaD,1.0,1620391727,QmfAx1x31KXkzWYfghopx6yu5AMDTkT7oBoQ1wE8SXpmy9,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xAd4e408e44CD02f35a69b541f7d5a2269C705368,1.0,1620391645,QmNXAjHp7i4X38svxnngaWokejSvymu3jALpW7M3E9z327,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x1BFECeCb8dd7569b525E5170663Fd3c6537E706B,1.0,1620391033,QmWP8vMztHtfL7e9emxtsFVP8QorPa1UApk2BzG7EPmFsE,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x584e7A197D8595c5dA3B701189712d4AFf976f76,1.0,1620389236,QmcunKfpzH9VMJwpqaP3efMPo3mMJNkrhsCXZyLYa1nvwK,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xAe516bB25C4AFfB47a05C9956382D48Ce355265F,1.0,1620388951,QmaRCM7BMvnt9JHj6RXJfzhLPFJws55gLgq7NrZ1YwrnkQ,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x86582e18C3bFe5204Dd142085462973C28F1daC9,1.0,1620385164,QmY3yfqU1fTqqiNXnFKFde4RWvBFyXTFU42CptpauLxPRg,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xa109B85d18DdE388Bda79Ac831d34C7e5b733635,1.0,1620384733,QmZnbWnahbNvtfgGQhjzxefFP96gKFfxSZNDCXi4re4KgQ,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xa0070729eA459201fd7389aa6c5a767D0Db2bF7a,1.0,1620383468,QmdSKBzHkA6RZ1JQEUMBuWfNgDSoeu8WJC5RnvPtVdq9JU,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xfDFA050f19028C93C54bB75CB44cF3E45E3F411E,1.0,1620379658,QmYvXyjSmqAVhrdtrMV37TWkJoXR9RgBeBuhLJj8tsiaZc,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x44234eCE5a316E5DcCc272850f3e88023Bd7A07D,1.0,1620378155,QmWF92FxmrkrtbieUz5wKRWfg9YtVXK56YoBFCAMRWqYKE,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xC4b0F00660592819Ed9a38b6AFfE76E15d0CE502,1.0,1620377793,QmWAntWBgAXZN33DUE3cnwqyLSB16TJC7xu9JQUmY25zh2,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x4062Ec809b341660262CE22dAB11E4Bc5cECd622,1.0,1620377167,QmXTv4RRWfFT9B2BgxGGxonYoWZp81LW6PSsdFXfvxunBw,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x135f9ce265e5B1B9AE41aa85F7818F849A9D5EED,1.0,1620376222,QmdyF8NCDNzy4bgY3KXfaRyBYeMMG83ZHNGwViufkXnUfr,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x33f3fA2aA549E67B5BAdCcc135a26738Ce2625e1,1.0,1620374348,QmYTq4oPD3JoJ5QW9eVVt91y4rWbQM3s1dDnRJbYSa9qNV,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xA0A0159f73F06613032A815404fC0F2F2Dd20868,1.0,1620373325,QmQzuc9CqYbBtwdm7ykxUwvky94oXx8oTmAnBqvsXHqHB3,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xA3f80e5D19f5fbEcd6c0a7b7eB6F82d4B9C168a2,1.0,1620372627,QmbJDhd8f6UV5SYa1kCdjzUwJ5xVDDdUGfpMqEuukpcn5K,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x7Bad2138B818079dB0Bc7df5185B6bae9589370D,1.0,1620370359,QmRQJ3EQqpGYhu71F3PiBGUu3tgfRL63xSMkyRpSnth1JX,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x0AAf72DA643570Da1bF76E8b3063C3f378b3D3D4,1.0,1620369981,QmRgda8WWYCSuCWfozoMCA2B9WDzxVw8b2FRjASnwQjpFd,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xE855D839aa44972cBd3C82323e43C9b8Bcc30D4C,1.0,1620369416,QmX2QBohbWgqbMGVmvH4fSXEJCy6FLH8xcYDCqCSn1FHAo,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xe7029426125f7386ed05A0f98E8fDa0C72F683D2,1.0,1620368590,QmcYTWkekko28tQRxTn1QkrkUPCzGC4rYS6gVmmoGhowre,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x145211aC1665a4350c4BBdA58E0f7f431627A85C,1.0,1620367025,QmPewoXcWhfwWsv4fz9hhkagKWjc3USEnc8nEGwDw7DZ7v,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0x85283a9343052Ebafaefc653b4FE3F2C4E92b2e5,1.0,1620366852,QmUBFy9XqsivHKojYDvzDTGLV5VfNmhPY27ZT8xbLPvcdn,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
0xFfD949f19d6ab09aBa4C2a00200439ca673e0808,1.0,1620364243,QmcaBpGmm2eyie2UvyVhW62QT4epxnpnDrQSp4CTLw2zoY,Approve the Bankless DAO Genesis Proposal?,QmdoixPMMT76vSt6ewkE87JZJywS1piYsGC3nJJpcrPXKS
