interval_start_timestamp,total_membership
2021-05-03T00:00:00+00:00,2073
2021-05-10T00:00:00+00:00,3119
2021-05-17T00:00:00+00:00,3554
2021-05-24T00:00:00+00:00,3913
2021-05-31T00:00:00+00:00,4236
