interval_start_timestamp,channel_name,channel_id,readers,chatters,messages
2021-06-08T00:00:00+00:00,🏭metafactory,842154915820077057,139,41,310
2021-06-08T00:00:00+00:00,bankless-bed-index,842168023104094218,94,32,154
2021-06-08T00:00:00+00:00,🇩🇪german-translation,842411012866179122,30,6,33
2021-06-08T00:00:00+00:00,singapore,842428022535487548,16,10,34
2021-06-08T00:00:00+00:00,🛕dao-isms,842492926440243200,84,18,259
2021-06-08T00:00:00+00:00,🏫mentors,842499916767952966,221,46,245
2021-06-08T00:00:00+00:00,📐onboard,842501525867200543,112,43,527
2021-06-08T00:00:00+00:00,📺av-general,842555146667294740,63,33,298
2021-06-08T00:00:00+00:00,📼podcast-recording,842555434031906826,64,25,151
2021-06-08T00:00:00+00:00,🎼music-for-media,842555532778930227,23,10,32
2021-06-08T00:00:00+00:00,🙅editors,842569895858012200,34,15,99
2021-06-08T00:00:00+00:00,⚖forum-proposals,842606922355572766,80,4,4
2021-06-08T00:00:00+00:00,latvia,842752486619873290,12,5,14
2021-06-08T00:00:00+00:00,🧪governance-framework-research,842810844236742677,73,21,526
2021-06-08T00:00:00+00:00,📊polls,842815095221387265,129,13,97
2021-06-08T00:00:00+00:00,♾metaverse,843484401630314516,71,18,78
2021-06-08T00:00:00+00:00,portugal,843511937479999498,7,6,8
2021-06-08T00:00:00+00:00,🤪tiktok,843559892216578108,168,19,325
2021-06-08T00:00:00+00:00,⏱narrative-coordination,843636855298850876,54,22,506
2021-06-08T00:00:00+00:00,dc,843935344105095229,9,7,11
2021-06-08T00:00:00+00:00,🎩call-info,844074800392699917,222,14,39
2021-06-08T00:00:00+00:00,🗓calendar,844341131864047656,1376,32,142
2021-06-08T00:00:00+00:00,🥼user-research,844390582092693505,35,11,99
2021-06-08T00:00:00+00:00,nft-platform-engineering,844677945904726026,49,18,211
2021-06-08T00:00:00+00:00,🏫mentors-public,845028501236351018,152,22,97
2021-06-08T00:00:00+00:00,🎢get-involved,845036405667397662,314,72,513
2021-06-08T00:00:00+00:00,zürich,845058244384391208,11,3,5
2021-06-08T00:00:00+00:00,piedao,845325892544233594,86,21,148
2021-06-08T00:00:00+00:00,brazil,845729398610198549,10,5,10
2021-06-08T00:00:00+00:00,argentina-uruguay,846097419266818070,11,3,19
2021-06-08T00:00:00+00:00,philippines,846387818192437288,4,3,4
2021-06-08T00:00:00+00:00,dubai,846388337531158548,8,4,21
2021-06-08T00:00:00+00:00,slovenia,846388591390621706,7,3,13
2021-06-08T00:00:00+00:00,🥼research-general,846412489197355070,54,15,116
2021-06-08T00:00:00+00:00,📬spammy-stuff,846447455905251378,60,20,182
2021-06-08T00:00:00+00:00,oregon,846481357479870504,6,5,16
2021-06-08T00:00:00+00:00,🔬tokenomics,846544905958457377,111,29,554
2021-06-08T00:00:00+00:00,🏠daohaus-research,846787030477307974,43,8,126
2021-06-08T00:00:00+00:00,❓poll-questions,846813263194357790,37,6,16
2021-06-08T00:00:00+00:00,arabic-translation,847126191470542888,5,2,9
2021-06-08T00:00:00+00:00,🦄meme-factory,847154718962614314,23,7,103
2021-06-08T00:00:00+00:00,onboard-mvp1,847620354766798848,48,14,174
2021-06-08T00:00:00+00:00,💻-website,847837171976634448,57,19,115
2021-06-08T00:00:00+00:00,🍃seasons,847843519184109618,48,16,175
2021-06-08T00:00:00+00:00,san-francisco,847879790945501214,8,3,3
2021-06-08T00:00:00+00:00,liquity,848146867224182784,45,17,177
2021-06-08T00:00:00+00:00,sweden,848202791695679488,4,3,7
2021-06-08T00:00:00+00:00,📏values,848596785136140308,20,5,10
2021-06-08T00:00:00+00:00,mvp1-ui,848599828522860554,46,11,108
2021-06-08T00:00:00+00:00,🇷🇴romanian-translation,848640468970897459,5,2,2
2021-06-08T00:00:00+00:00,aavegotchi-realm,848708116660748328,15,6,31
2021-06-08T00:00:00+00:00,sovereign-team-building,848712873320513536,39,15,125
2021-06-08T00:00:00+00:00,🏠real-estate,848714573842087948,36,7,28
2021-06-08T00:00:00+00:00,watercooler-chat,848725711425896468,38,16,53
2021-06-08T00:00:00+00:00,axie-infinity-lunacia,848727972441227284,16,7,82
2021-06-08T00:00:00+00:00,✪onboard-coordination,848736592868147231,87,14,57
