,id,voter,created,__typename,choice.3,choice.4,choice.5,choice.6,choice.7,proposal.id,proposal.space.id,choice.2,choice.1
20,0xf889fb60539aa9325b6455cb01798ecd23e0d875088ceb019cb800f5f572dcdf,0xa336fa33DA9178Cb46dfeE752bFA5700f5BF39f1,1647957166,Vote,1.0,1.0,1.0,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
21,0xf334781e751bda71737661e2c59e95dcf24dce50c824b1100bdbcc101feb06e7,0x609F1FE76461bFB7f5e44Dc66D5806CD379c5094,1647954114,Vote,1.0,1.0,,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
22,0xecbab3d50f29f087254061e9e565fadcf7db94ebca8ca212b90d6c3667f0ecce,0xBC9f3d253E0e4Fa7970Da8a1d01fece566ea3Fa1,1647945029,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,
23,0x9a4786921431d844d324999069473bad48cfab243fabff4cfff1b1d805914335,0x5aD12AaD34f0ecD96528cDdc49448FDdD944A9BA,1647943081,Vote,1.0,1.0,1.0,1.0,2.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
24,0xc86b9d1147800fee2bbf515025d52b08226a4d4e6227477787fff3b55014b382,0x25a2a1719722A3cbf014ea9E2906521eB57caA8f,1647943010,Vote,1.0,1.0,2.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
25,0x2ce38ec9c8636b1a8d4858f7302ba2cd101deb18a8c53b8cec8bd10bddfefc2d,0x3E67c69386323FaE679BfC43b183e2C97C0c5433,1647942987,Vote,1.0,1.0,2.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
26,0x3709ede3daa3eefb675436c0aa464981245452dd0882bff4bcd11d3215f33bfc,0x67f5849B493bC5A148fC389aB4D3c3D123AeB85D,1647942963,Vote,1.0,1.0,2.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
27,0x11774b73f196c083a5b63f0914c863b6ce2b76508c88194b33be48adc53582f8,0x2503648ba68E694155D1c0FF56209f6Dd3e7E22d,1647942334,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
28,0x003ae7be217e736809bc5db1785de11220274ea5338ac5e7f6edfc4f4ee15cdc,0xE8Dc8e3169388C26c39a3903D1b68AdaafeC42F2,1647942307,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
29,0x36e75ff856e7b2439ed5fb8c1e6a2a71adbf09dc902c5b0b39d5cb85e40f32db,0xeF21937c9a9c067fF1E45332a98804bef25d7899,1647942284,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
30,0xde42f9c5c73475da8dad0376eab5d4679ea2e0cba21fa3e38ef2a1eaf7843656,0x933342831c3947Fdc8e3016d2d2fd2c8EFDA389E,1647942260,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
31,0x6b40593fb38490482f26b14262e6f258a5e1e0ec0b3ce3538ea9bdb2082dca8d,0x010C6fBCAb924f7d43536c33f8c7da009f4CBB5F,1647942174,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
32,0x671f757afef45fa0d9e53253af239c7a5bdbd3b308b8d4d847b55f3544fb5c25,0x85956C4A2478a77730635CE0Dc3954983d5b0971,1647941900,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
33,0x25eb8f90c416b6f5817c8e2187e04f5722c8263e103878a16fc978f626c788ac,0xE8689d980bf3ffc0a82DAC0af794234ceD4dBc5c,1647941859,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
