ID,Collection,Minting Date,Tx Count,Power
632421,0x540c44ff7b71f2487cd11aaf53aec1a85bfe8f7a,7/30/2021,1,12
632425,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d,7/30/2021,1,49
632430,0x0a9ccba894168aaaa03f03753f631d0a902303d7,7/30/2021,1,35
632432,0xfb18fd31af65737e446f30c7c35375e53a4ce569,7/30/2021,1,17
632436,0x75cd58a01883c6a115a1293c4dd4ce67d11928f0,7/30/2021,1,22
632437,0xedd049c56b804bcdbf7e704cc312491e3d50485a,7/30/2021,1,27
632438,0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781,7/30/2021,1,51
632440,0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab,7/30/2021,1,20
632443,0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea,7/30/2021,1,73
632446,0x4c2f62d6f34388a8d134907fea723e7ed902fe22,7/30/2021,1,39
632447,0x6fadd14635ced43a8c2eaf11894d2771524ac2c2,7/30/2021,1,63
632453,0xafa6f7a00e089059db60268ad230af5e311c440c,7/30/2021,1,56
632457,0xb6ac0341fcf3fb507a8208d34a97f13779e1393d,7/30/2021,1,52
632467,0x03d69800ac2469fcefc3f21d2d93ed2994a7b1ce,7/30/2021,1,19
632468,0xb79411ca5481024f3d176135e96c96e4046661d2,7/30/2021,1,22
632474,0x0c9960ddfe2ac696c5dee9f9fcb89a3d9104c19e,7/30/2021,1,6
632475,0x31562d5959b37e39702c0f94d06ef155489d9359,7/30/2021,1,63
632478,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,7/30/2021,1,233
632480,0x5c700958be667204149c9adae1b4831c9df16622,7/30/2021,1,18
632481,0xcabc8491816d5fa9f141c722fd8a08f2fd538333,7/30/2021,1,28
632482,0x3136043b0a2278569fcac322b7accf1395281b8f,7/30/2021,1,10
632483,0xc0e2324817eaefd075af9f9faf52ffaef45d0c04,7/30/2021,1,15
632484,0x3aaf1cb151c85484c862b56b7db7d82488432fcf,7/30/2021,1,24
632491,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,7/30/2021,1,65
632505,0xae059b2bc5397ebfbf523873545edcae340bee5a,7/30/2021,1,31
632517,0xd7cfccc63b5f0d5b772a500632a3e062490a7927,7/30/2021,1,11
632532,0xbb20d477d4f22d7169ad4c5bd67984362be8bad0,7/30/2021,1,18
632551,0x65b4e64e3e6d4a155f8193ec608c1a49e914a7af,7/30/2021,1,7
632583,0xf8adf12348f702080ca79ae8d2db6d0c658f878a,7/30/2021,1,13
632590,0x74f54b4435eff8d5f680644cc6482434eb9221db,7/30/2021,1,4
632675,0x403383c411c0eb14ea0bd15e7c2ad5431a7410c2,7/30/2021,1,24
632679,0xba47dd26cbe21467d74b5be182f039b502563ffb,7/30/2021,1,9
632706,0x4d640d6d2cae44c3192a70dc1179aa890484cc7e,7/30/2021,1,15
632710,0x8c126eb5ada6c61f5b48e9791d5d539576af87cb,7/30/2021,1,22
632739,0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7,7/30/2021,1,60
632742,0xbd19a3f0a9cace18513a1e2863d648d13975cb30,7/30/2021,1,60
632745,0x13231b8432b457430f82c5044bede48d46a3d2e3,7/30/2021,1,6
632748,0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb,7/30/2021,1,68
632762,0x6f3924e9158c74d344bf578a251bcc2ef41f8f50,7/30/2021,1,13
632763,0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478,7/30/2021,1,19
632769,0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5,7/30/2021,1,23
632773,0x338f603755412f64eab9a3fe9d2873e0d8c536d8,7/30/2021,1,21
632777,0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,7/30/2021,1,117
632783,0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,7/30/2021,1,52
632805,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,7/30/2021,1,26
632814,0x4f8c2d5397262653cd8956cb977a0ba3660210c7,7/30/2021,1,41
632817,0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9,7/30/2021,1,29
632818,0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003,7/30/2021,1,33
632823,0xe4067ed66738dbdc7b8917703c8c380d898033f8,7/30/2021,1,53
632835,0x7fe65d99a0998cdba8e1f749303a467dcf87e815,7/30/2021,1,15
632854,0x2c8d2e50ee03f98a2f4ccfbe1a61552b79bdf6fa,7/30/2021,1,20
632866,0x6f00ad0238e20646e3b4e87dc9c8319649156834,7/30/2021,1,18
632867,0x7ec6ffd8c5d5620903a22ce7a8b37d62e0e6559a,7/30/2021,1,10
632868,0x4c5f4f9df7968b0db448526162114a04f3462bad,7/30/2021,1,177
632870,0x16458d6563e02ee371544096ceb89dc32316c3dd,7/30/2021,1,13
632872,0xfbe2407ff5678df1dded7808b9658ff1b8d2a4b8,7/30/2021,1,3
632875,0x93798c48d02a7398ee123ad99fdb5efd2a9337a1,7/30/2021,1,14
632883,0xae516bb25c4affb47a05c9956382d48ce355265f,7/30/2021,1,11
632887,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733,7/30/2021,1,18
632889,0xbef33200077a2a2ac3613ab92488b41ffc39ace2,7/30/2021,1,12
632891,0x0b0e6e7235d67e35ea8d736766088a28c1985afc,7/30/2021,1,26
632903,0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71,7/30/2021,1,45
632908,0x3f31bde678303320f19a677b8ed2a4a0739daca7,7/30/2021,1,17
632912,0x57d23a76582f30b09106ced93efecf2ef718e187,7/30/2021,1,422
