"ID","Collection","ENS","Minting Date","Tx Count","Power"
"476139","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","","7/9/2021","1","34"
"476141","0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7","","7/9/2021","1","11"
"476142","0x31562d5959b37e39702c0f94d06ef155489d9359","","7/9/2021","1","45"
"476143","0xbe2909813f6f850af99c8b968febf6eb884f1454","","7/9/2021","1","11"
"476145","0x2b18233fb4306a705471a7271c018ce0ff7dd754","","7/9/2021","1","10"
"476147","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","7/9/2021","1","40"
"476148","0xe93fb6784e7cec8fb8d283a70295df714f3c0db7","","7/9/2021","1","13"
"476150","0x53c31293c544bc69898f90009ce27980d7574fa2","","7/9/2021","1","247"
"476152","0x3cfd9c16d7b298d623d7160b1a2b56496402b9f0","","7/9/2021","1","14"
"476153","0x83111e1888c1e49e8703e248edeaa34ef868a1de","","7/9/2021","1","26"
"476157","0x93798c48d02a7398ee123ad99fdb5efd2a9337a1","","7/9/2021","1","9"
"476158","0xb464ca834796272e08dc6460940b281b046a2cee","","7/9/2021","1","15"
"476159","0x7b3bddf3af1d6e160d57887ff4516cb3c3add495","","7/9/2021","1","21"
"476162","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","7/9/2021","1","18"
"476164","0x22e29241d2071312047e619666ebf3ddf9f39461","","7/9/2021","1","9"
"476165","0xb90b3ce30fa58351f1fd19a6114ef287b169e6ec","","7/9/2021","1","18"
"476166","0x910176d294afa2cd017928ca92a0bf5a01152194","","7/9/2021","1","19"
"476167","0x6f1b12a415e035eebdc8559130ea8bdb96add48c","","7/10/2021","1","46"
"476168","0xdecd4b961b1984c44afbadbe2844777a627572aa","","7/9/2021","1","127"
"476169","0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6","","7/9/2021","1","21"
"476172","0x705360aa5ee97311e91c0375a27a18527538e3a4","","7/9/2021","1","10"
"476173","0xb79411ca5481024f3d176135e96c96e4046661d2","","7/9/2021","1","12"
"476174","0x17dfd18987b6b131686fea478600b75d11193335","","7/9/2021","1","477"
"476175","0xb30dd1198feed1e22ec969f61eed04cb75937adf","","7/9/2021","1","8"
"476176","0xa53a6fe2d8ad977ad926c485343ba39f32d3a3f6","","7/9/2021","1","24"
"476177","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","","7/9/2021","1","26"
"476178","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","","7/9/2021","1","53"
"476179","0x0b0e6e7235d67e35ea8d736766088a28c1985afc","","7/9/2021","1","17"
"476180","0x1745a3f232467511fc36b2480e8e7acf6a7aa7f0","","7/9/2021","1","4"
"476183","0x4c41f7201552487a55c623f8a45694d9f88c2b81","","7/9/2021","1","641"
"476184","0xae516bb25c4affb47a05c9956382d48ce355265f","","7/9/2021","1","9"
"476185","0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8","","7/9/2021","1","11"
"476186","0x1b4bcca2636f7106207813f9e07d80d861baa705","","7/9/2021","1","11"
"476187","0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb","","7/9/2021","1","43"
"476188","0x536299a4fcf0d1d492596c2c816fc20f3f7ec557","","7/9/2021","1","7"
"476189","0x18035bb5dcff413940151cea396c7ab230072e0b","","7/9/2021","1","12"
"476190","0x8fad37dfe228d08361385cda72f72bb20975a723","","7/9/2021","1","7"
"476191","0xcabc8491816d5fa9f141c722fd8a08f2fd538333","","7/9/2021","1","17"
"476192","0xf8adf12348f702080ca79ae8d2db6d0c658f878a","","7/9/2021","1","10"
"476193","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","","7/9/2021","1","88"
"476194","0xe4067ed66738dbdc7b8917703c8c380d898033f8","","7/9/2021","1","36"
"476196","0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5","","7/9/2021","1","15"
"476197","0xafa6f7a00e089059db60268ad230af5e311c440c","","7/9/2021","1","41"
"476198","0x2d1e7b6e6284409e16991de76d2a82847a7d61c5","","7/9/2021","1","30"
"476199","0x03d69800ac2469fcefc3f21d2d93ed2994a7b1ce","","7/9/2021","1","13"
"476203","0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6","","7/9/2021","1","10"
"476204","0x1fbb06e5df7479be3b021cdea3271c61235ff1d5","","7/9/2021","1","16"
"476206","0xae5499976ffd3e58be47bdd51c787a5201d957f4","","7/9/2021","1","7"
"476207","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","","7/9/2021","1","18"
"476209","0xb795b5957bc72cfb1e71c6a8eb504c195dd52fc4","","7/9/2021","1","15"
"476210","0x9daaad3989d9d3149a8620a8ef8ca5db2cddfc38","","7/9/2021","1","8"
"476212","0xa2277f4ae7e6380de426fa334b05d4ceb39f1d47","","7/9/2021","1","223"
"476213","0xbd19a3f0a9cace18513a1e2863d648d13975cb30","","7/9/2021","1","35"
"476214","0x11d0b9058104247be40744b1e5a708fc0ae8f7cc","","7/9/2021","1","16"
"476217","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","","7/9/2021","1","33"
"476218","0xb7ad24ef67e01c5a353477abf81e867cab48a132","","7/9/2021","1","11"
"476219","0xedacb733f39f5b5743ea22f57cce8966ffd1df06","","7/9/2021","1","108"
"476222","0xe01a97fc4607a388a41626d5e039fdecbfc6acd9","","7/9/2021","1","12"
"476223","0xc220e4c353bd27b6514a9be0670baffcc6a14480","","7/9/2021","1","17"
"476224","0x28c45e9a0bce210a05f304949f87d5268ac279d5","","7/9/2021","1","618"
"476225","0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848","","7/9/2021","1","20"
"476226","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","","7/9/2021","1","193"
"476228","0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2","","7/9/2021","1","12"
"476233","0xeba9717a3341e5750be43256c91ae068fdb01a27","","7/9/2021","1","14"
"476234","0x0a9ccba894168aaaa03f03753f631d0a902303d7","","7/9/2021","1","26"
