"ID","Owner","ENS","Claim Date","Tx Count","Power"
"242283","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","","5/21/2021","1","36"
"242284","0xe01a97fc4607a388a41626d5e039fdecbfc6acd9","","5/21/2021","1","8"
"242285","0x2f45724d7e384b38d5c97206e78470544304887f","","5/21/2021","1","8"
"242288","0xb05d731dbf46047cd57e57dc45567be44e79385c","","5/21/2021","1","5"
"242289","0x0c93a5afddc83e7db7e61c6699f9046afb96e1a8","","5/22/2021","1","4"
"242290","0x7b3bddf3af1d6e160d57887ff4516cb3c3add495","","5/21/2021","1","11"
"242291","0x1b4bcca2636f7106207813f9e07d80d861baa705","","5/21/2021","1","6"
"242292","0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7","","5/21/2021","1","15"
"242293","0x6329a5fc0fd3c9fd1e1a480829e73b714f8ea212","","5/21/2021","1","4"
"242294","0xac19baabe85dd01b94fe1528c24a9472a4d9b583","","5/21/2021","1","5"
"242295","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","5/21/2021","1","11"
"242296","0xb6ac0341fcf3fb507a8208d34a97f13779e1393d","","5/21/2021","1","8"
"242297","0xefb263f9b862eb538ad980f5a2b2331cc70053c2","","5/21/2021","1","3"
"242298","0x9311d45341b284900711f9bc155ce2e381248c29","","5/21/2021","1","6"
"242299","0xedd049c56b804bcdbf7e704cc312491e3d50485a","","5/21/2021","1","7"
"242301","0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9","","5/21/2021","1","8"
"242302","0xee6b92d023243a36a93661e75d5760da57121d91","","5/21/2021","1","6"
"242303","0xb7948fb55ed4e87147192ada644c2a5b6ee28ff6","","5/21/2021","1","3"
"242304","0x5eee4c61d5e63486dcd3eb4ad445403c9e1bb413","","5/21/2021","1","6"
"242306","0x4f33a4007cb951852c5a47dead2f2a1549a738bf","","5/21/2021","1","5"
"242307","0x84d1e52a5c2871d72ec2d190e14d19a065c98726","","5/21/2021","1","2"
"242308","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","","5/21/2021","1","9"
"242309","0x208e3ed55144371f318824a48f8e9d68fa38b9c0","","5/21/2021","1","4"
"242310","0x531bf2ee7050cad7ab1d2536de38185805f508cd","","5/21/2021","1","3"
"242311","0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2","","5/21/2021","1","5"
"242312","0xf712f6fdc2f0385041e6ad2f73774d7cd8f2b278","","5/21/2021","1","4"
"242313","0x30b4a5477314e3fbd0c22d6afcd71eecf4d9d22f","","5/21/2021","1","8"
"242314","0xa7e6f51af4fbd7d1f4d95764bbc965cec4ad5b91","","5/21/2021","1","7"
"242315","0x6222cedf294390d754c10065b31117d856b22ad5","","5/21/2021","1","4"
"242316","0xd15472d58e1bf8fbfa4a9f87c5f3d4108d965b8f","","5/21/2021","1","2"
"242317","0x1324bb978fea9864a0dac2eb83c9def4ab426d40","","5/21/2021","1","2"
"242318","0x0b0e6e7235d67e35ea8d736766088a28c1985afc","","5/21/2021","1","5"
"242320","0xfb18fd31af65737e446f30c7c35375e53a4ce569","","5/21/2021","1","4"
"242321","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","5/21/2021","1","16"
"242322","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","","5/21/2021","1","9"
"242324","0xe4067ed66738dbdc7b8917703c8c380d898033f8","","5/21/2021","1","6"
"242326","0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb","","5/21/2021","1","26"
"242327","0x15cfd653015f4620171a54466672d174d0e74d2a","","5/21/2021","1","3"
"242328","0xb464ca834796272e08dc6460940b281b046a2cee","","5/21/2021","1","4"
"242329","0x2441f46002f1f733ce4bdc62dcf9d5dea357414c","","5/21/2021","1","4"
"242330","0x451296049b36e9f07394b9c6c6d325bd6ac6127f","","5/21/2021","1","6"
"242331","0xeba9717a3341e5750be43256c91ae068fdb01a27","","5/21/2021","1","6"
"242332","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","","5/21/2021","1","5"
"242333","0xe27182da732df48f5a9be7879f3724ea1d1635a6","","5/21/2021","1","8"
"242334","0x31562d5959b37e39702c0f94d06ef155489d9359","","5/21/2021","1","10"
"242335","0x49bf291ad763be440e6cd1a2ddfbb458530b127c","","5/21/2021","1","3"
"242336","0x53c31293c544bc69898f90009ce27980d7574fa2","","5/21/2021","1","96"
"242337","0xab8a30f98d36e4e183ebc7ebd3f65f0f8475a9fd","","5/21/2021","1","6"
"242338","0x50017fc607da965b6dd12f61c8a6560dfe2df927","","5/21/2021","1","12"
"242339","0x67e867607d16c010bee44925e0217814bbebd801","","5/21/2021","1","6"
"242340","0x6f00ad0238e20646e3b4e87dc9c8319649156834","","5/21/2021","1","5"
"242341","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","","5/21/2021","1","6"
"242342","0xa5ec7cd10ed5c3c2d9e19aedda47fe99f676234f","","5/21/2021","1","5"
"242343","0x916134e688a4a866ff57f4f53f16703f9b8afa99","","5/21/2021","1","5"
"242344","0x83111e1888c1e49e8703e248edeaa34ef868a1de","","5/21/2021","1","18"
"242345","0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7","","5/21/2021","1","5"
"242346","0x4c2f62d6f34388a8d134907fea723e7ed902fe22","","5/21/2021","1","18"
"242348","0x856a6b90c32bb4b27565660085bbcf3a45aa5172","","5/21/2021","1","46"
