ID,Owner,Claim Date,Tx Count,Power
386907,0x4c41f7201552487a55c623f8a45694d9f88c2b81,6/25/2021,1,400
386909,0xf632f067bb26b08e95e23225a016ed9e02265137,6/25/2021,1,8
386910,0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1,6/25/2021,1,7
386911,0x31562d5959b37e39702c0f94d06ef155489d9359,6/25/2021,1,33
386913,0x9eda173b60b105d2e255a1f535f70db2587eefe0,6/25/2021,1,9
386915,0xb464ca834796272e08dc6460940b281b046a2cee,6/25/2021,1,10
386917,0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8,6/25/2021,1,9
386919,0x6f00ad0238e20646e3b4e87dc9c8319649156834,6/25/2021,1,11
386920,0x67e867607d16c010bee44925e0217814bbebd801,6/25/2021,1,13
386922,0xe4067ed66738dbdc7b8917703c8c380d898033f8,6/25/2021,1,24
386923,0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8,6/25/2021,1,11
386924,0x856a6b90c32bb4b27565660085bbcf3a45aa5172,6/25/2021,1,62
386925,0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003,6/25/2021,1,13
386926,0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7,6/25/2021,1,42
386927,0xc5fda9b6258b392f120db67202c605bf22c29853,6/25/2021,1,5
386928,0xf133b16add084cb99a4915d589a2c43c475ba068,6/25/2021,1,12
386929,0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71,6/25/2021,1,20
386930,0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781,6/25/2021,1,21
386931,0x18035bb5dcff413940151cea396c7ab230072e0b,6/25/2021,1,8
386932,0x500f736f569b801e12cbdd5d8116ea0717512520,6/25/2021,1,10
386933,0x4d640d6d2cae44c3192a70dc1179aa890484cc7e,6/25/2021,1,6
386934,0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,6/25/2021,1,20
386935,0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab,6/25/2021,1,11
386936,0x66fda6b697155fad61694713f4d6b0c02736e2a3,6/25/2021,1,167
386937,0xc220e4c353bd27b6514a9be0670baffcc6a14480,6/25/2021,1,15
386939,0x4f33a4007cb951852c5a47dead2f2a1549a738bf,6/25/2021,1,11
386940,0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2,6/25/2021,1,10
386941,0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9,6/25/2021,1,16
386943,0x2c84d8a2ffb283d295de6eb5287a2addda51b6ec,6/25/2021,1,11
386944,0xae5499976ffd3e58be47bdd51c787a5201d957f4,6/25/2021,1,5
386945,0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea,6/25/2021,1,41
386946,0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3,6/25/2021,1,13
386947,0xfc783f00ad1eb798cda2deece3bba749bf783539,6/25/2021,1,9
386948,0x403383c411c0eb14ea0bd15e7c2ad5431a7410c2,6/25/2021,1,11
386949,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,6/25/2021,1,170
386950,0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7,6/25/2021,1,9
386951,0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5,6/25/2021,1,5
386952,0xfda01b765ed17bd971e970a24c568513baac43ed,6/25/2021,1,12
386954,0xd9220628480f074fe8d1d9a493c0369e6c4fef0a,6/25/2021,1,112
386955,0xfdf0eade0c4ba947999e7885b60099985347ee7a,6/25/2021,1,13
386956,0x6b5e2cd96bd6038bf28e10cf21f7e67805259715,6/25/2021,1,16
386957,0xb6ac0341fcf3fb507a8208d34a97f13779e1393d,6/25/2021,1,22
386958,0xcabc8491816d5fa9f141c722fd8a08f2fd538333,6/25/2021,1,12
386959,0x9daaad3989d9d3149a8620a8ef8ca5db2cddfc38,6/25/2021,1,5
386961,0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,6/25/2021,1,65
386962,0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6,6/25/2021,1,8
386963,0x6222cedf294390d754c10065b31117d856b22ad5,6/25/2021,1,7
386964,0x6f3924e9158c74d344bf578a251bcc2ef41f8f50,6/25/2021,1,7
386966,0x17dfd18987b6b131686fea478600b75d11193335,6/25/2021,1,213
386967,0xeba9717a3341e5750be43256c91ae068fdb01a27,6/25/2021,1,11
386968,0xead33c3bb40f7cd230ed9ede50f13ec86b0a6502,6/25/2021,1,4
386969,0xfd2a31a8a19f747ec416cdc46ffc432da366073a,6/25/2021,1,10
386971,0x387544f796a05528c9d05403836262dfa84a2e41,6/25/2021,1,9
386972,0xae516bb25c4affb47a05c9956382d48ce355265f,6/25/2021,1,6
386974,0x9e7006d9c43a032e1bbc8913c76c2209c86bb21d,6/25/2021,1,48
386975,0x11d0b9058104247be40744b1e5a708fc0ae8f7cc,6/25/2021,1,14
386976,0xdcf6680ebac3908ddaeb41b4e567f19d67075cd7,6/25/2021,1,155
386978,0x910176d294afa2cd017928ca92a0bf5a01152194,6/25/2021,1,14
386979,0x9f16fc2783559d833498bc018eee9acff1ab79dc,6/25/2021,1,87
386980,0x3f31bde678303320f19a677b8ed2a4a0739daca7,6/25/2021,1,9
386981,0x61323c5c6696fde1d334fee5f49f1fac8781d0cf,6/25/2021,1,171
386982,0xb79411ca5481024f3d176135e96c96e4046661d2,6/25/2021,1,10
386983,0xd4cff5248da8727f408967351642fce6fd520f4c,6/25/2021,1,47
386984,0x084d8e1fb72a105af956ebbf76ce8bd159eed8b9,6/25/2021,1,158
386986,0x329c21c7ce361902f56929a9eff350f29a95ea7f,6/25/2021,1,3
386987,0x59d6779eca6c91ed7679e261b54299b5155eadf0,6/25/2021,1,24
386988,0x45913a59b1830f97152b3eff60002056573e9089,6/25/2021,1,12
386989,0xac19baabe85dd01b94fe1528c24a9472a4d9b583,6/25/2021,1,9
386990,0xecc953efbd82d7dea4aa0f7bc3329ea615e0cff2,6/25/2021,1,3
386991,0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848,6/25/2021,1,14
386992,0xc95cfd9aa84a495d020660bea6571c4cb85c3038,6/25/2021,1,151
386993,0xadf19bd8c637b3241e25e0d60ff78f598008ecc0,6/25/2021,1,362
386994,0x39e773fc12253b868385c2da83fdc78a44e4366b,6/25/2021,1,1
386995,0x9311d45341b284900711f9bc155ce2e381248c29,6/25/2021,1,13
386997,0x3136043b0a2278569fcac322b7accf1395281b8f,6/25/2021,1,6
386998,0x16458d6563e02ee371544096ceb89dc32316c3dd,6/25/2021,1,5
386999,0x85d2cc6e3c3fd8bd6ac259f8eea25698bd6e8704,6/25/2021,1,7
387000,0x49087eb6f9529eb02a508fb820d7b4d0b52e4881,6/25/2021,1,389
387002,0xbd19a3f0a9cace18513a1e2863d648d13975cb30,6/25/2021,1,24
387004,0x61f1ec7720bf935e6dcc03ebcfd0e01774c563e2,6/25/2021,1,2
387005,0x7ae3be50449a6452a2a5bc98072d2daf5dba4776,6/25/2021,1,165
387006,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,6/25/2021,1,17
387007,0x85e41d90d865101bf78567446e2e24ecd9389349,6/25/2021,1,4
387008,0x283d37e46f7817610fa03fe8ece875a2897a8df9,6/25/2021,1,11
387009,0x4b771e3421d4fbecc6eb67a26af77aca85ef2ac3,6/25/2021,1,20
387010,0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f,6/25/2021,1,27
387012,0xa7c49f85f94bc1cd02c429a5491167a4781521cc,6/25/2021,1,122
387013,0x350b96a4c5e3454204e3f7519d7f9d35af8c87b9,6/25/2021,1,42
387017,0xa62e59a099989cec789bc1c148c624a2b3a0bff3,6/25/2021,1,108
387018,0xc136fcfb1667e5e882b94941efa104447f248560,6/25/2021,1,103
387021,0x8c126eb5ada6c61f5b48e9791d5d539576af87cb,6/25/2021,1,8
387023,0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2,6/25/2021,1,8
