"ID","Owner","ENS","Claim Date","Tx Count","Power"
"272934","0x7d02c2b3361ddf8dce39aecb8cb7264373fdad32","","5/28/2021","1","3"
"272935","0xee6b92d023243a36a93661e75d5760da57121d91","","5/28/2021","1","6"
"272936","0xbb5e488a2ed924e5600743744caed06017a9a2a4","","5/28/2021","1","2"
"272937","0xeb5806ffcf9a1e9b24876b68dab80c4dd7ef42ec","reiniskalnins.eth","5/28/2021","1","5"
"272938","0x3c71cf9b6335cf604767d3a07fc19664ce7a9052","seanpatrick.eth","5/28/2021","1","1"
"272940","0x31562d5959b37e39702c0f94d06ef155489d9359","kamps.eth","5/28/2021","1","10"
"272941","0x30b4a5477314e3fbd0c22d6afcd71eecf4d9d22f","abvavgjoe.eth","5/28/2021","1","8"
"272942","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","5/28/2021","1","16"
"272943","0x53c31293c544bc69898f90009ce27980d7574fa2","cmart.eth","5/28/2021","1","96"
"272947","0x08262c1a9279e65633291b5fda5d123fbe77b931","ath.mirror.xyz","5/28/2021","1","16"
"272949","0x2ae8c972fb2e6c00dded8986e2dc672ed190da06","","5/28/2021","1","6"
"272950","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","exploring.eth","5/28/2021","1","5"
"272951","0x124d05e1cf1316141463224e3b9a9592044ee325","","5/28/2021","1","25"
"272952","0xff44611abc5c62ff3c8c61f67769330c9a466a93","","5/28/2021","1","7"
"272953","0x45913a59b1830f97152b3eff60002056573e9089","","5/28/2021","1","6"
"272954","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","5/28/2021","1","11"
"272955","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","grendel.eth","5/28/2021","1","19"
"272956","0xe4067ed66738dbdc7b8917703c8c380d898033f8","oktal.eth","5/28/2021","1","6"
"272957","0x679e21a0ed6a30ee97a33e04d8009654f1d763e2","","5/28/2021","1","4"
"272958","0x67e867607d16c010bee44925e0217814bbebd801","","5/28/2021","1","6"
"272959","0x6329a5fc0fd3c9fd1e1a480829e73b714f8ea212","didierkrux.eth","5/28/2021","1","4"
"272960","0xbd19a3f0a9cace18513a1e2863d648d13975cb30","shatt.eth","5/28/2021","1","16"
"272961","0xe01a97fc4607a388a41626d5e039fdecbfc6acd9","","5/28/2021","1","8"
"272962","0x3d1be4d62ae38ffa738934df2dac3855777eac15","","5/28/2021","1","10"
"272963","0x2f45724d7e384b38d5c97206e78470544304887f","siddhearta.eth","5/28/2021","1","8"
"272964","0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9","","5/28/2021","1","8"
"272965","0xe27182da732df48f5a9be7879f3724ea1d1635a6","nonsensetwice.eth","5/28/2021","1","8"
"272966","0xafa6f7a00e089059db60268ad230af5e311c440c","cvjoint.eth","5/28/2021","1","16"
"272967","0xf389dd1f828525b449d63d14157f2d3a25ee0a41","oops.eth","5/28/2021","1","52"
"272968","0x57c924feb43e30a08233661f8782d10e378cd6f4","jamescarnley.eth","5/28/2021","1","4"
"272969","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","","5/28/2021","1","140"
"272970","0x9311d45341b284900711f9bc155ce2e381248c29","badboys.eth","5/28/2021","1","6"
"272971","0x2f4e6674b0a2a7443bc0c890cdc8a5b5a9e6ab35","cryptokiph.eth","5/28/2021","1","2"
"272972","0xf814a8e1607aa1d1a33f42a4c9b3b67eadce45bd","","5/28/2021","1","119"
"272973","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","cmart.eth","5/28/2021","1","6"
"272974","0xd2eca69f59fa551c902bb34ce4e889b3bb635c4a","shatt.eth","5/28/2021","1","5"
"272975","0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab","","5/28/2021","1","5"
"272976","0x1394442297e670df7ddd702d955824699a9321a9","","5/28/2021","1","2"
"272979","0x0c93a5afddc83e7db7e61c6699f9046afb96e1a8","paulapivat.eth","5/28/2021","1","4"
"272980","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","0xpaul.eth","5/28/2021","1","9"
"272981","0xe4fb2c5bd24fb3c344b98a5f51010eaaba47c9e4","","5/28/2021","1","5"
"272982","0xa5ec7cd10ed5c3c2d9e19aedda47fe99f676234f","greggarner.eth","5/28/2021","1","5"
"272984","0xc220e4c353bd27b6514a9be0670baffcc6a14480","greggarner.eth","5/28/2021","1","8"
"272986","0x13aaf0994ffdb35bf32ddaf6e18b6efdd25a0808","","5/28/2021","1","6"
"272988","0xe68593fbd0838398b413606f2e8099474b97da86","","5/28/2021","1","2"
"272989","0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb","paulapivat.eth","5/28/2021","1","26"
"272991","0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f","junglerush.eth","5/28/2021","1","19"
"272992","0x4c5f4f9df7968b0db448526162114a04f3462bad","otherbright.eth","5/28/2021","1","119"
"272993","0x73641ee05a9d6a8a23d3188ea13b690a078eac05","seanpatrick.eth","5/28/2021","1","9"
"272994","0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6","blitzio.eth","5/28/2021","1","9"
"272995","0xfc783f00ad1eb798cda2deece3bba749bf783539","jameswmontgomery.eth","5/28/2021","1","6"
"272996","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","eaglelex.eth","5/28/2021","1","9"
"272998","0x75cd58a01883c6a115a1293c4dd4ce67d11928f0","","5/28/2021","1","4"
"272999","0x7a5ec1f07e30ae65ed1daf82141546896535203a","","5/28/2021","1","26"
"273000","0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8","","5/28/2021","1","4"
"273003","0x83111e1888c1e49e8703e248edeaa34ef868a1de","carlosian.eth","5/28/2021","1","18"
"273005","0xab8a30f98d36e4e183ebc7ebd3f65f0f8475a9fd","gamble.gimmethe.eth","5/28/2021","1","6"
"273006","0x4c2f62d6f34388a8d134907fea723e7ed902fe22","","5/28/2021","1","18"
"273008","0xb6ac0341fcf3fb507a8208d34a97f13779e1393d","gamble.gimmethe.eth","5/28/2021","1","8"
"273009","0x85d2cc6e3c3fd8bd6ac259f8eea25698bd6e8704","","5/28/2021","1","4"
"273012","0x910176d294afa2cd017928ca92a0bf5a01152194","","5/30/2021","1","7"
"273014","0xf8adf12348f702080ca79ae8d2db6d0c658f878a","","5/28/2021","1","4"
"273015","0xf712f6fdc2f0385041e6ad2f73774d7cd8f2b278","","5/28/2021","1","4"
"273016","0xeba9717a3341e5750be43256c91ae068fdb01a27","","5/28/2021","1","6"
"273017","0x4f5695d12c30eae448c5f38023b12572e483453c","kamps.eth","5/28/2021","1","3"
"273018","0x7b3bddf3af1d6e160d57887ff4516cb3c3add495","","5/28/2021","1","11"
"273019","0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2","mantisdatasolutions.eth","5/28/2021","1","5"
"273020","0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274","skillet.eth","5/28/2021","1","3"
"273021","0xe826f1c06d5ae90e4c098459d1b7464a8dc604ca","blitzio.eth","5/28/2021","1","6"
"273023","0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7","oktal.eth","5/28/2021","1","7"
"273024","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","nomoney.eth","5/28/2021","1","36"
"273026","0xad549c7fcf1bd3e57bca464d9dce0a0d561599d1","banked.eth","5/28/2021","1","9"
"273027","0x1444a0830055dd98027c6a56429196fec8aee55c","","5/28/2021","1","2"
"273028","0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8","mebmc.eth","5/28/2021","1","7"
"273029","0xa38bf0afb2d29174b62a7cbb7d1b25883a1ab480","","5/28/2021","1","9"
"273030","0x3f31bde678303320f19a677b8ed2a4a0739daca7","badboys.eth","5/28/2021","1","6"
"273037","0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478","rondo.eth","5/28/2021","1","5"
"273038","0x2f374873e3d410dddb11e7f0d7be6735645170bc","danecollins.eth","5/28/2021","1","4"
"273039","0x6f3924e9158c74d344bf578a251bcc2ef41f8f50","","5/28/2021","1","5"
"273041","0x85e41d90d865101bf78567446e2e24ecd9389349","seangeorge.eth","5/28/2021","1","2"
"273042","0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2","","5/28/2021","1","5"
"273043","0x6018887da486cdfed5baeebfbd1fbbb34f94c7ac","","5/28/2021","1","3"
"273044","0xd934c7a324e7cae6b2a191d8b749b12deb017d88","eaglelex.eth","5/28/2021","1","11"
