ID,Collection,Minting Date,Tx Count,Power
711329,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d,8/7/2021,1,49
712430,0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9,8/7/2021,1,29
712431,0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7,8/7/2021,1,60
712447,0xa9eb52b347bc76f95745a92dd1e1c3986bcb1e2c,8/7/2021,1,29
712479,0xe0eff0ddbd2dc3b33849b26b3949d6505be22242,8/7/2021,1,24
712484,0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,8/7/2021,1,52
712500,0xafa6f7a00e089059db60268ad230af5e311c440c,8/7/2021,1,56
712514,0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea,8/7/2021,1,73
712596,0x1653e58b907caad5a9a39c9bd64c33acbf557273,8/7/2021,1,5
712607,0xb79411ca5481024f3d176135e96c96e4046661d2,8/7/2021,1,22
712627,0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274,8/7/2021,1,14
712644,0x4f8c2d5397262653cd8956cb977a0ba3660210c7,8/7/2021,1,41
712663,0x3e1f1605222d41ebbf6d5f6699a0e38523818ea0,8/7/2021,1,6
712725,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,8/7/2021,1,233
712730,0xea921acfe2d96d30690e06b5d4d64be6e1192ce6,8/7/2021,1,32
712796,0x468492c6a5239f9f1057cefc894a83bd60c462a0,8/7/2021,1,21
712853,0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1,8/7/2021,1,13
712881,0x88bd87b06b72e2afdfe83cfd0e2788ffccab8679,8/7/2021,1,6
712892,0x128b7e7f0bfa7cda46bb4728a0da88dbaa095026,8/7/2021,1,18
712921,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,8/7/2021,2,26
712939,0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,8/7/2021,1,117
712944,0x6fadd14635ced43a8c2eaf11894d2771524ac2c2,8/7/2021,1,63
712953,0x03d69800ac2469fcefc3f21d2d93ed2994a7b1ce,8/7/2021,1,19
712966,0x16458d6563e02ee371544096ceb89dc32316c3dd,8/7/2021,1,13
