"ID","Owner","shocktop.eth","Claim Date","Tx Count","Power"
"360744","0xdc99de2b50984269d5dd976766cad8d9eb9cff94","greggarner.eth","6/18/2021","1","29"
"360745","0xc220e4c353bd27b6514a9be0670baffcc6a14480","jameswmontgomery.eth","6/18/2021","1","13"
"360748","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","otherbright.eth","6/18/2021","1","16"
"360749","0x73641ee05a9d6a8a23d3188ea13b690a078eac05","oktal.eth","6/18/2021","1","13"
"360750","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","996icu.eth","6/18/2021","1","58"
"360752","0x61323c5c6696fde1d334fee5f49f1fac8781d0cf","mehdiag.eth","6/18/2021","1","134"
"360753","0x50017fc607da965b6dd12f61c8a6560dfe2df927","junglerush.eth","6/18/2021","1","18"
"360754","0xb464ca834796272e08dc6460940b281b046a2cee","","6/18/2021","1","9"
"360755","0x4d640d6d2cae44c3192a70dc1179aa890484cc7e","","6/18/2021","1","5"
"360756","0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8","kouros.eth","6/18/2021","1","10"
"360757","0x31562d5959b37e39702c0f94d06ef155489d9359","paulapivat.eth","6/18/2021","1","24"
"360758","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","","6/18/2021","1","18"
"360759","0x3839acf1ee7699d1f46b1be840d8ad8317fdf757","","6/18/2021","1","13"
"360760","0xf133b16add084cb99a4915d589a2c43c475ba068","","6/18/2021","1","10"
"360762","0x468492c6a5239f9f1057cefc894a83bd60c462a0","","6/18/2021","1","11"
"360763","0xddc22fbc4559feff07fb35cda96a636aebbd2aa4","","6/18/2021","1","14"
"360764","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","frogmonkee.eth","6/18/2021","1","11"
"360765","0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7","seanpatrick.eth","6/18/2021","1","34"
"360766","0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6","","6/18/2021","1","14"
"360767","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","","6/18/2021","1","10"
"360769","0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5","","6/18/2021","1","4"
"360770","0x4f8c2d5397262653cd8956cb977a0ba3660210c7","","6/18/2021","1","7"
"360771","0x2d1e7b6e6284409e16991de76d2a82847a7d61c5","grendel.eth","6/18/2021","1","17"
"360772","0xe4067ed66738dbdc7b8917703c8c380d898033f8","didierkrux.eth","6/18/2021","1","17"
"360773","0xbd19a3f0a9cace18513a1e2863d648d13975cb30","nonsensetwice.eth","6/18/2021","1","21"
"360774","0xafa6f7a00e089059db60268ad230af5e311c440c","","6/18/2021","1","23"
"360776","0xcabc8491816d5fa9f141c722fd8a08f2fd538333","","6/18/2021","1","10"
"360777","0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2","","6/18/2021","1","8"
"360778","0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8","","6/18/2021","1","8"
"360779","0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2","noble01.eth","6/18/2021","1","7"
"360781","0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d","seangeorge.eth","6/18/2021","1","5"
"360782","0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2","","6/18/2021","1","6"
"360783","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","6/18/2021","1","14"
"360784","0xb6ac0341fcf3fb507a8208d34a97f13779e1393d","danecollins.eth","6/18/2021","1","15"
"360785","0x338f603755412f64eab9a3fe9d2873e0d8c536d8","","6/18/2021","1","7"
"360786","0x83111e1888c1e49e8703e248edeaa34ef868a1de","","6/18/2021","1","22"
