interval_start_timestamp,channel_name,channel_id,readers,chatters,messages
2021-09-29T00:00:00+00:00,📊polls,842815095221387265,469,20,41
2021-09-29T00:00:00+00:00,♾metaverse,843484401630314516,66,14,69
2021-09-29T00:00:00+00:00,portugal,843511937479999498,3,4,4
2021-09-29T00:00:00+00:00,🤪tiktok,843559892216578108,6,0,0
2021-09-29T00:00:00+00:00,⏱narrative-coordination,843636855298850876,3,0,0
2021-09-29T00:00:00+00:00,dc,843935344105095229,1,2,2
2021-09-29T00:00:00+00:00,🎩call-info,844074800392699917,150,16,51
2021-09-29T00:00:00+00:00,🗓calendar,844341131864047656,460,36,119
2021-09-29T00:00:00+00:00,🥼user-research,844390582092693505,10,1,2
2021-09-29T00:00:00+00:00,nft-platform,844677945904726026,7,2,2
2021-09-29T00:00:00+00:00,🏫mentors,845028501236351018,100,21,80
2021-09-29T00:00:00+00:00,🎢get-involved,845036405667397662,964,458,921
2021-09-29T00:00:00+00:00,zürich,845058244384391208,6,5,13
2021-09-29T00:00:00+00:00,brazil,845729398610198549,3,3,5
2021-09-29T00:00:00+00:00,argentina-uruguay,846097419266818070,7,4,6
2021-09-29T00:00:00+00:00,philippines,846387818192437288,5,3,3
2021-09-29T00:00:00+00:00,dubai,846388337531158548,4,2,3
2021-09-29T00:00:00+00:00,slovenia,846388591390621706,2,1,1
2021-09-29T00:00:00+00:00,🥼research-general,846412489197355070,85,27,276
2021-09-29T00:00:00+00:00,vietnam,846435878737936384,5,4,7
2021-09-29T00:00:00+00:00,📬hype-and-recognition,846447455905251378,156,78,593
2021-09-29T00:00:00+00:00,oregon,846481357479870504,6,6,20
2021-09-29T00:00:00+00:00,🔬tokenomics,846544905958457377,55,13,54
2021-09-29T00:00:00+00:00,🏠governance-research,846787030477307974,16,5,10
2021-09-29T00:00:00+00:00,arabic-translation,847126191470542888,3,1,1
2021-09-29T00:00:00+00:00,onboard-mvp1,847620354766798848,1,0,0
2021-09-29T00:00:00+00:00,💻-website,847837171976634448,69,18,247
2021-09-29T00:00:00+00:00,🍃seasons,847843519184109618,66,13,87
2021-09-29T00:00:00+00:00,san-francisco,847879790945501214,5,3,3
2021-09-29T00:00:00+00:00,bankless-loans,848146867224182784,76,11,83
2021-09-29T00:00:00+00:00,sweden,848202791695679488,4,6,11
2021-09-29T00:00:00+00:00,mvp1-ui,848599828522860554,1,0,0
2021-09-29T00:00:00+00:00,🇷🇴romanian-translation,848640468970897459,1,0,0
2021-09-29T00:00:00+00:00,aavegotchi-realm,848708116660748328,3,1,1
2021-09-29T00:00:00+00:00,sovereign-health-and-wealth,848712873320513536,9,2,11
2021-09-29T00:00:00+00:00,🏠real-estate,848714573842087948,47,11,55
2021-09-29T00:00:00+00:00,watercooler-chat,848725711425896468,45,18,31
2021-09-29T00:00:00+00:00,axie-infinity-lunacia,848727972441227284,9,3,3
2021-09-29T00:00:00+00:00,🤝academy-coordination,848736592868147231,83,39,380
2021-09-29T00:00:00+00:00,🟣poap-design-contest-season-0,848828431319826462,2,0,0
2021-09-29T00:00:00+00:00,🇮🇷-persian-translation,848842471941472316,3,1,10
2021-09-29T00:00:00+00:00,indonesia,848888660384546816,4,2,3
2021-09-29T00:00:00+00:00,apelesswallet-formerly-alphawallet,848939698995068968,11,0,0
2021-09-29T00:00:00+00:00,descent-into-the-maelström,848997240727011358,4,0,0
2021-09-29T00:00:00+00:00,🇮🇩indonesian-translation,848999553931804672,8,4,16
2021-09-29T00:00:00+00:00,⚕sovereign-health,849093288392917032,5,2,7
2021-09-29T00:00:00+00:00,🌐social-media,849287126633938964,53,19,153
