interval_start_timestamp,new_members,pct_retained
2021-06-07T00:00:00+00:00,323,33.43653250773994
2021-06-14T00:00:00+00:00,351,37.32193732193732
2021-06-21T00:00:00+00:00,256,35.15625
2021-06-28T00:00:00+00:00,238,34.87394957983193
2021-07-05T00:00:00+00:00,327,33.02752293577981
2021-07-12T00:00:00+00:00,293,39.59044368600683
2021-07-19T00:00:00+00:00,371,37.46630727762803
2021-07-26T00:00:00+00:00,339,31.56342182890856
2021-08-02T00:00:00+00:00,456,24.780701754385966
2021-08-09T00:00:00+00:00,224,35.714285714285715
2021-08-16T00:00:00+00:00,303,40.264026402640255
2021-08-23T00:00:00+00:00,515,28.155339805825246
2021-08-30T00:00:00+00:00,445,35.28089887640449
2021-09-06T00:00:00+00:00,485,34.845360824742265
2021-09-13T00:00:00+00:00,1186
2021-09-20T00:00:00+00:00,1469
