"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0xac04db76ca3dcea86155c4401dd8f796cc23ea82",2,1,3,1.93816069672253,3.65764447695684e-05,8.14204635619197e-05,"0xac04db76ca3dcea86155c4401dd8f796cc23ea82",58
"0x22f98eae7d6a8dbeb2dc5bd514b964ea3f76c329",1,1,2,12.5811571761615,3.7178867531695e-05,0.000136154116376091,"0x22f98eae7d6a8dbeb2dc5bd514b964ea3f76c329",14
"0x3d3fc58efef259734624ad1103813573a20210c1",3,2,5,0.684145663454411,3.12295056369258e-05,0.000143500020734042,"0x3d3fc58efef259734624ad1103813573a20210c1",8
"0x1dc9ee19bc6ece2df030eb1f4f5d775e817d798d",1,3,4,6.74467531322192,3.59401955146636e-05,8.13474926886254e-05,"0x1dc9ee19bc6ece2df030eb1f4f5d775e817d798d",3
"0x6f58133f47f9473a199b3ff1ad510d79eadfb11e",1,1,2,1.58809873139391,3.68595650571323e-05,8.13474926886254e-05,"0x6f58133f47f9473a199b3ff1ad510d79eadfb11e",8
"0x8fa4eb329cd2c01844b0e2e523df9ef6d130ab4f",1,1,2,16.4694883565838,3.7178867531695e-05,0.000139601622764946,"0x8fa4eb329cd2c01844b0e2e523df9ef6d130ab4f",9
"0x1aa000e34290c1ce5cae1084cd46b1bca04ba6f2",4,1,5,2014,3.8918439443745e-08,0.000239791883226995,"0x1aa000e34290c1ce5cae1084cd46b1bca04ba6f2",9
"0x175256f85a43d02a252c3e2b953fa8efdff9972b",2,1,3,3.25796559884565,3.71816322736568e-05,8.14204635619197e-05,"0x175256f85a43d02a252c3e2b953fa8efdff9972b",4
"0x7bd7dad2d1f75ae105ef20c7177c4345b69ae971",1,1,2,2014,3.8918439443745e-08,0.000139274884384096,"0x7bd7dad2d1f75ae105ef20c7177c4345b69ae971",4
"0x6425fb24f7ceab05253958d2a5e39c727ffc8c40",2,2,4,0,3.68554896251797e-05,0.000199586972627708,"0x6425fb24f7ceab05253958d2a5e39c727ffc8c40",8
