"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1410949951765495811","https://twitter.com/banklessDAO/status/1410949951765495811","Happy Friday 🤗 https://t.co/QJlAlpQACn","2021-07-02 13:14 +0000","566.0","22.0","0.038869257950530034","0.0","0.0","3.0","0.0","0.0","0.0","8.0","0.0","0","0","0","0","0","120","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410770727595294725","https://twitter.com/banklessDAO/status/1410770727595294725","Shhhhh, don't drop so much alpha in one tweet. https://t.co/90O9hxsBLO","2021-07-02 01:22 +0000","2250.0","49.0","0.021777777777777778","4.0","1.0","13.0","5.0","0.0","0.0","26.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410702486353108992","https://twitter.com/banklessDAO/status/1410702486353108992","Lots of DBZ in chats today. Credit @sovhealthcoach https://t.co/2ff0Xouc2B","2021-07-01 20:50 +0000","1692.0","124.0","0.07328605200945626","0.0","2.0","10.0","7.0","0.0","0.0","14.0","0.0","0","0","0","0","0","91","91","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410598081268043779","https://twitter.com/banklessDAO/status/1410598081268043779","Writers Guild is spinning up another newsletter, one focused on providing project updates. BanklessDAO SHIPS! 🛳️🚢 Stay tuned, it'll be out in the coming weeks.","2021-07-01 13:56 +0000","2021.0","43.0","0.02127659574468085","3.0","1.0","21.0","3.0","0.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410337258641760264","https://twitter.com/banklessDAO/status/1410337258641760264","@WormholeOracle @Cooopahtroopa @Wuki @FWBtweets @PleasrDAO @seedclubhq @forefront__ @songcamp_ @SyndicateDAO We have a few revenue streams. Our big push for Season 1 (starts tomorrow!) is to explore more revenue streams that we can double down on in the future.","2021-06-30 20:39 +0000","216.0","18.0","0.08333333333333333","0.0","0.0","3.0","12.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410330778999922689","https://twitter.com/banklessDAO/status/1410330778999922689","Pls give me a vote ser https://t.co/Vt3cbRJqvE","2021-06-30 20:13 +0000","1857.0","12.0","0.006462035541195477","0.0","0.0","3.0","2.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410309285008097280","https://twitter.com/banklessDAO/status/1410309285008097280","@Cooopahtroopa @Wuki @FWBtweets @PleasrDAO @seedclubhq @forefront__ @songcamp_ @SyndicateDAO Come join us at your leisure, @Wuki !
https://t.co/1kOpespUfa","2021-06-30 18:48 +0000","470.0","31.0","0.06595744680851064","0.0","0.0","2.0","6.0","18.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410298450562912258","https://twitter.com/banklessDAO/status/1410298450562912258","Incredibly 🧵on DAOs. Read and learn! https://t.co/MX4jZv4hYH","2021-06-30 18:05 +0000","2454.0","46.0","0.018744906275468622","4.0","0.0","23.0","4.0","0.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410267050354917385","https://twitter.com/banklessDAO/status/1410267050354917385","Chúng tôi đại diện cho một cộng đồng phân quyền thúc đẩy sự phát triển và nhận thức về hệ thống tiền tệ không cần ngân hàng như Ethereum, Bitcoin và DeFi bằng các phương tiện truyền thông, văn hóa và giáo dục.

#gobankless https://t.co/g1fpytYmNv","2021-06-30 16:00 +0000","1700.0","18.0","0.010588235294117647","0.0","0.0","3.0","2.0","0.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1410257925151629312","https://twitter.com/banklessDAO/status/1410257925151629312","Would you feed the beast? Credit to @ahrenstein https://t.co/i6amtnG9O6","2021-06-30 15:24 +0000","1677.0","49.0","0.029218843172331546","2.0","0.0","6.0","4.0","0.0","0.0","13.0","0.0","0","0","0","0","0","281","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
