"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1393253315463442432","https://twitter.com/banklessDAO/status/1393253315463442432","👀 https://t.co/4Ji4gAW18a","2021-05-14 17:14 +0000","3494.0","65.0","0.018603319977103606","2.0","2.0","37.0","2.0","0.0","0.0","22.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1393221309996339202","https://twitter.com/banklessDAO/status/1393221309996339202","First community call. 136 as of now! https://t.co/DEqHLl1plp","2021-05-14 15:06 +0000","2950.0","227.0","0.07694915254237288","4.0","1.0","32.0","13.0","1.0","0.0","26.0","0.0","0","0","0","0","0","150","150","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1393218975098564608","https://twitter.com/banklessDAO/status/1393218975098564608","Blueprint ✍️ https://t.co/sy6a7C0YUQ","2021-05-14 14:57 +0000","17503.0","131.0","0.007484431240358796","7.0","2.0","50.0","25.0","4.0","0.0","43.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1393200819638505475","https://twitter.com/banklessDAO/status/1393200819638505475","@BenFerrum 1. Start creating apps. Learn solidity, web3, nodejs. Use @HardhatHQ 
2. Start contributing to OSS repos. Complete tickets, maybe even apply for a grant.
3. Start writing and tweeting

If you can commit full time, you'll get a job within 3-4 months.","2021-05-14 13:45 +0000","494.0","25.0","0.05060728744939271","1.0","1.0","7.0","9.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1393010887611404288","https://twitter.com/banklessDAO/status/1393010887611404288","Ty @zapper_fi 🤝 https://t.co/KrMHd8TPGQ","2021-05-14 01:10 +0000","11325.0","1122.0","0.0990728476821192","5.0","10.0","75.0","51.0","1.0","0.0","92.0","0.0","0","0","0","0","0","888","888","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392991370445418497","https://twitter.com/banklessDAO/status/1392991370445418497","@Cooopahtroopa Bet https://t.co/5tbu11N4Pl","2021-05-13 23:53 +0000","299.0","9.0","0.030100334448160536","0.0","0.0","3.0","0.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392985505843666946","https://twitter.com/banklessDAO/status/1392985505843666946","@Saaamsonite @TheMetaFactory In discussion for future releases.","2021-05-13 23:29 +0000","263.0","6.0","0.022813688212927757","0.0","0.0","2.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392959239816089602","https://twitter.com/banklessDAO/status/1392959239816089602","@TheMetaFactory I thought I had a stroke","2021-05-13 21:45 +0000","611.0","20.0","0.03273322422258593","0.0","0.0","11.0","2.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392952522780803072","https://twitter.com/banklessDAO/status/1392952522780803072","Our first drop is Monday May 17 at 9AM PST. (If you like the @banklessHQ April Fools announcement, you won’t want to miss it.)","2021-05-13 21:18 +0000","2389.0","62.0","0.02595228128924236","3.0","1.0","23.0","17.0","0.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392952521656733698","https://twitter.com/banklessDAO/status/1392952521656733698","Let’s spread some serious crypto culture together @TheMetaFactory 😈

This announcement articulates the first major partnership, as well as the first major revenue stream, for our DAO. Read more 👇

https://t.co/UV42wohkRE","2021-05-13 21:18 +0000","76803.0","1536.0","0.019999218780516387","49.0","6.0","165.0","182.0","413.0","0.0","721.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392945524412715022","https://twitter.com/banklessDAO/status/1392945524412715022","Chicagoooooooo https://t.co/U2uGUPZhET","2021-05-13 20:51 +0000","3293.0","38.0","0.011539629517157608","3.0","0.0","12.0","11.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392900213136896000","https://twitter.com/banklessDAO/status/1392900213136896000","Writer's Guild had their first formal meeting. Had a few others hop on as well. Agenda items included:
1. This week's newsletter
2. Creating a bounty board framework
3. Perhaps something with @nowdaoit ??? https://t.co/ULRHVmfjSE","2021-05-13 17:51 +0000","2002.0","127.0","0.06343656343656344","1.0","0.0","14.0","10.0","0.0","0.0","22.0","0.0","0","0","0","0","0","80","80","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392886895848394754","https://twitter.com/banklessDAO/status/1392886895848394754","@angelamaximum @paulapivat We're working on it now! If you have thoughts on how you would like to see it work, please contribute: https://t.co/MpU5qv9mg4","2021-05-13 16:58 +0000","136.0","7.0","0.051470588235294115","1.0","0.0","0.0","0.0","5.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392629166718210059","https://twitter.com/banklessDAO/status/1392629166718210059","@philipp_kothe @BanklessHQ How do you mean?","2021-05-12 23:54 +0000","53.0","1.0","0.018867924528301886","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392522333177323520","https://twitter.com/banklessDAO/status/1392522333177323520","Boop https://t.co/E1BFeGdKvR","2021-05-12 16:49 +0000","15279.0","711.0","0.0465344590614569","11.0","5.0","116.0","67.0","4.0","0.0","144.0","0.0","0","0","0","0","0","364","364","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
