"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-06-05","3","24739","1002","0.04050284975140467","26","13","132","72","96","3","295","0","0","0","0","0","0","943","365","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-06","3","13225","422","0.03190926275992439","7","6","36","44","127","0","118","0","0","0","0","0","0","220","84","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-07","5","30352","579","0.01907617290458619","17","5","112","67","59","0","268","0","0","0","0","0","0","86","51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-08","3","36815","389","0.010566345239712074","7","2","75","38","63","0","146","0","3","0","0","0","0","73","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-09","10","89287","1237","0.013854200499512807","47","13","251","114","216","7","464","0","0","0","0","0","0","232","125","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-10","6","52237","1079","0.02065585695962632","33","13","159","97","135","4","339","0","1","0","0","0","0","375","298","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-11","11","49501","1110","0.02242378941839559","36","13","164","72","245","1","301","0","6","0","0","0","0","307","272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-12","2","73270","1161","0.015845502934352395","27","7","146","89","170","0","318","0","0","0","0","0","0","414","404","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-13","2","51634","1011","0.019580121625285666","30","7","150","81","94","0","333","0","0","0","0","0","0","316","316","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-14","8","22523","669","0.0297029702970297","23","16","129","79","30","1","321","0","0","0","0","0","0","129","70","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-15","4","14349","637","0.044393337514809394","17","7","115","32","74","0","136","0","0","0","0","0","0","261","256","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-16","1","8552","358","0.04186155285313377","7","2","40","36","39","0","82","0","0","0","0","0","0","155","152","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-17","7","16773","399","0.023788231085673402","14","9","87","43","77","0","137","0","0","0","0","0","0","32","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-18","7","22584","508","0.022493800921006023","22","11","95","36","98","2","149","0","0","0","0","0","0","200","95","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-19","5","18037","467","0.025891223595941676","20","4","88","47","111","0","160","0","0","0","0","0","0","59","37","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-20","2","9986","321","0.03214500300420589","21","3","79","50","45","0","103","0","0","0","0","0","0","37","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-21","9","24919","410","0.01645330872025362","20","4","105","38","98","0","134","0","0","1","0","0","0","18","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-22","7","16176","374","0.023120672601384767","10","19","76","39","47","3","174","0","0","0","0","0","0","8","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-23","6","20630","619","0.030004847309743093","13","6","109","52","150","1","221","0","0","0","0","0","0","1114","67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-24","7","25185","1240","0.049235656144530474","22","27","147","97","99","1","573","0","2","0","0","0","0","395","272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-25","9","34403","960","0.027904543208441126","28","12","148","81","151","2","366","0","1","0","0","0","0","1762","171","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-26","9","40894","798","0.01951386511468675","29","13","150","65","153","8","231","0","0","0","0","0","0","3044","149","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-27","1","11395","225","0.019745502413339184","4","0","28","20","52","2","83","0","0","0","0","0","0","744","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-28","6","21567","582","0.026985672555292807","11","38","112","36","47","1","322","0","0","0","0","0","0","128","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-29","8","20883","437","0.020926112148637648","18","11","102","59","53","3","171","0","0","0","0","0","0","54","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-30","7","14295","349","0.02441413081497027","9","2","73","43","89","0","113","0","0","0","0","0","0","250","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-01","2","7525","245","0.03255813953488372","7","5","44","36","22","0","59","0","0","0","0","0","0","119","72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-02","2","4799","151","0.03146488851844134","11","3","29","12","4","0","50","0","0","0","0","0","0","167","42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
