interval_start_timestamp,new_members,pct_retained
2021-09-06T00:00:00+00:00,485,34.845360824742265
2021-09-13T00:00:00+00:00,1186,35.16020236087689
2021-09-20T00:00:00+00:00,1469,22.872702518720217
2021-09-27T00:00:00+00:00,1046,23.996175908221804
2021-10-04T00:00:00+00:00,739,39.5128552097429
2021-10-11T00:00:00+00:00,668,41.31736526946108
2021-10-18T00:00:00+00:00,1106,35.89511754068715
2021-10-25T00:00:00+00:00,797,35.257214554579676
2021-11-01T00:00:00+00:00,950,24.73684210526316
2021-11-08T00:00:00+00:00,1194,29.480737018425465
2021-11-15T00:00:00+00:00,966,33.333333333333336
2021-11-22T00:00:00+00:00,1074,27.374301675977648
2021-11-29T00:00:00+00:00,941,24.017003188097767
2021-12-06T00:00:00+00:00,1496,17.8475935828877
2021-12-13T00:00:00+00:00,1187
2021-12-20T00:00:00+00:00,1261
