interval_start_timestamp,messages,messages_per_communicator
2021-09-06T00:00:00+00:00,4926,11.536299765807962
2021-09-13T00:00:00+00:00,5986,9.960066555740433
2021-09-20T00:00:00+00:00,5686,9.60472972972973
2021-09-27T00:00:00+00:00,5504,10.117647058823527
2021-10-04T00:00:00+00:00,5711,9.439669421487602
2021-10-11T00:00:00+00:00,4974,8.866310160427808
2021-10-18T00:00:00+00:00,5461,9.101666666666665
2021-10-25T00:00:00+00:00,6494,11.11986301369863
2021-11-01T00:00:00+00:00,6372,11.378571428571426
2021-11-08T00:00:00+00:00,6303,9.756965944272446
2021-11-15T00:00:00+00:00,6838,9.88150289017341
2021-11-22T00:00:00+00:00,6603,6.79320987654321
2021-11-29T00:00:00+00:00,9863,7.865231259968103
2021-12-06T00:00:00+00:00,11342,8.03257790368272
2021-12-13T00:00:00+00:00,9912,7.974255832662912
2021-12-20T00:00:00+00:00,7065,6.101036269430052
