address,choice,balance,timestamp,dateUtc,authorIpfsHash
0x716722C80757FFF31DA3F3C392A1736b7cfa3A3e,1,789.87961965,1620154835,"Tue, 04 May 2021 19:00:35 GMT",QmWnU3u72H8WgecG4HgWbruxcyd15o8qk6FkooUMLezJfj
0x311DA6D80CC8994193168BA51B074649606cf6d2,1,107820.83361849998,1620154836,"Tue, 04 May 2021 19:00:36 GMT",QmYqvywMgwPZXR9RzkzcShXUB6TQXxGG9zGw1Tc6y9x9w8
0x5C57abD3548b87Ef9bAbEa37ed3abD51fad523a3,1,47422.03742204,1620154838,"Tue, 04 May 2021 19:00:38 GMT",QmeusGqm2uxWzTnoyfSMQXEJjCXGTTdsdiT3RqabrSZw5b
0xedd049C56b804bcDBf7E704Cc312491E3D50485a,1,37422.03742204,1620154858,"Tue, 04 May 2021 19:00:58 GMT",QmZN5FwyvkJv84oiuFfuZqS3LSjtaYvPs41rHqYEjjuUy6
0xFB4974917850D9D82D812DD49221EB0B4C2F240e,1,37422.03742204,1620154859,"Tue, 04 May 2021 19:00:59 GMT",QmZ3M9dbMkGAfZ9R7XtTXZqtYswzq5ZknJPHEFv8j7kpvi
0x635a8235189d62e9f048E246bd8A240e2a7Bacbe,1,37422.03742204,1620154862,"Tue, 04 May 2021 19:01:02 GMT",Qmf4wroJVbYjxvimjFY9LtigFYHN6fq9rnztQW8pKf1jJE
0xDFE7ad3E0cc6fb0798e66C67C72927C49fc42478,1,166765.95250898998,1620154867,"Tue, 04 May 2021 19:01:07 GMT",QmSpfsTfyLHAUYyujgqPhxsJFqd3K3WtcVTsVCaWWFpH7z
0x326D0b7Ea11D06F490650930d667e317A4c84B8F,1,2000,1620154870,"Tue, 04 May 2021 19:01:10 GMT",QmadcZpbW9oVcXzm5K3VgC4infDFCUi47m4mThAVQQWekW
0xD4BEB1e7d13D593f73fEb34a99Ed6e1C88973185,1,37422.03742204,1620154877,"Tue, 04 May 2021 19:01:17 GMT",QmbVeJ7FYMaoy6iJw7Mmx2fCrJbQrysjqYfNBZuT2QqWwJ
0xe742238845698542cB54A760328C99bcc20e6154,1,37422.03742204,1620154927,"Tue, 04 May 2021 19:02:07 GMT",QmaE8iG7dtnfXxULT1MMBBUKC2vZMQhdpVdpsnrsNCdiw2
0x4636650A4Be0F6bFa226C31b537349e9D43Df6c0,2,418.0299362559705,1620154936,"Tue, 04 May 2021 19:02:16 GMT",QmYPo6CDsUQPVQbeWL7Ja8hcsvonZ484CHtrgZAoiBu5sJ
0x6b5E2CD96bd6038BF28E10CF21f7e67805259715,1,142977.5587064302,1620154959,"Tue, 04 May 2021 19:02:39 GMT",Qmbazstij7w3gf12nbJzckMGo7pDPNgwrRK5v6EWfakBfp
0x234De2d06Ee7e098B50f9ab1E15f4125bDa02b67,1,44163.15742204,1620154963,"Tue, 04 May 2021 19:02:43 GMT",QmQKgr2gVWjcSkSZWv8czFU5DHfWV9XccqpAXzwEvNSDPy
