day,address,sum_balance
2021-05-04 15:33:34,0x4062ec809b341660262ce22dab11e4bc5cecd622,33680.03742
2021-05-04 15:55:25,0xe6c486eb5f5cc2c64b53ab6c3942986d648c9b89,13850.30883
2021-05-04 16:01:47,0x170ae47ba9b913c33f038aa011b5b83935e86091,20261.23197
2021-05-04 16:06:52,0x170ae47ba9b913c33f038aa011b5b83935e86091,15026.61135
2021-05-04 16:07:49,0x170ae47ba9b913c33f038aa011b5b83935e86091,10517.62246
2021-05-04 16:15:08,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,17339.95530
2021-05-04 16:17:43,0x170ae47ba9b913c33f038aa011b5b83935e86091,25731.88953
2021-05-04 16:18:07,0x170ae47ba9b913c33f038aa011b5b83935e86091,20267.50149
2021-05-04 16:18:35,0x170ae47ba9b913c33f038aa011b5b83935e86091,12871.74617
2021-05-04 16:18:35,0xcb114805b901f7a9c38d5675272ef26459a7d805,11904.74421
2021-05-04 16:22:56,0x170ae47ba9b913c33f038aa011b5b83935e86091,11233.93909
2021-05-04 16:26:59,0x6a4a3606e1c9fa55c7c979b6e56c2493cfbb874c,12056.05735
2021-05-04 16:27:51,0x170ae47ba9b913c33f038aa011b5b83935e86091,11004.80133
2021-05-04 16:31:30,0x170ae47ba9b913c33f038aa011b5b83935e86091,25992.65010
2021-05-04 16:32:04,0x170ae47ba9b913c33f038aa011b5b83935e86091,18064.46350
2021-05-04 16:32:04,0xcb114805b901f7a9c38d5675272ef26459a7d805,19832.93081
2021-05-04 16:35:44,0x170ae47ba9b913c33f038aa011b5b83935e86091,15669.25368
2021-05-04 16:40:37,0x170ae47ba9b913c33f038aa011b5b83935e86091,14702.91260
2021-05-04 16:48:56,0x170ae47ba9b913c33f038aa011b5b83935e86091,13519.91260
2021-05-04 16:48:56,0x5a27d268e830655e908a0a2c3b24f572695af5e8,12676.03035
2021-05-04 16:55:40,0x170ae47ba9b913c33f038aa011b5b83935e86091,32715.74302
2021-05-04 16:55:40,0xb7d0596e636dbec773075372868b14d5a224c0fd,19049.34468
2021-05-04 16:58:34,0x170ae47ba9b913c33f038aa011b5b83935e86091,23945.21034
2021-05-04 16:58:34,0xcb114805b901f7a9c38d5675272ef26459a7d805,28603.46349
2021-05-04 16:59:42,0x170ae47ba9b913c33f038aa011b5b83935e86091,22026.55578
2021-05-04 17:05:15,0x170ae47ba9b913c33f038aa011b5b83935e86091,13612.86057
2021-05-04 17:06:39,0x170ae47ba9b913c33f038aa011b5b83935e86091,12094.83063
2021-05-04 17:08:15,0xf3713b90cf982ba3f006437b29c7aded7c3f123a,14962.43945
2021-05-04 17:09:20,0x170ae47ba9b913c33f038aa011b5b83935e86091,10454.92329
2021-05-04 17:09:55,0xe7bab002a39f9672a1bd0e949d3128eebd883575,10268.43506
2021-05-04 17:10:01,0x32660025e6e2071de1b94e99d583648af53bea6d,20382.89481
2021-05-04 17:14:46,0x170ae47ba9b913c33f038aa011b5b83935e86091,17269.02623
2021-05-04 17:16:48,0x170ae47ba9b913c33f038aa011b5b83935e86091,11646.86481
2021-05-04 17:19:01,0x7d1675dc635959b26f61e03637599c12c7e84fae,16469.02956
2021-05-04 17:19:48,0x170ae47ba9b913c33f038aa011b5b83935e86091,11333.70423
2021-05-04 17:23:24,0x170ae47ba9b913c33f038aa011b5b83935e86091,10023.95569
2021-05-04 17:23:43,0x7dd2af112f35c7aac95cde8cfa7c4cdb485e304f,26974.27623
2021-05-04 17:25:13,0x170ae47ba9b913c33f038aa011b5b83935e86091,11023.95569
2021-05-04 17:27:47,0x170ae47ba9b913c33f038aa011b5b83935e86091,11813.83531
2021-05-04 17:36:25,0x165107ce980edff38065261326354c3d6cd809e6,13121.34521
2021-05-04 17:36:33,0x170ae47ba9b913c33f038aa011b5b83935e86091,10875.67887
2021-05-04 17:39:20,0x170ae47ba9b913c33f038aa011b5b83935e86091,14825.07697
2021-05-04 17:41:26,0x170ae47ba9b913c33f038aa011b5b83935e86091,12744.84808
2021-05-04 17:41:34,0x170ae47ba9b913c33f038aa011b5b83935e86091,14325.72398
2021-05-04 17:44:15,0x170ae47ba9b913c33f038aa011b5b83935e86091,12181.95509
2021-05-04 17:49:28,0x170ae47ba9b913c33f038aa011b5b83935e86091,14156.23132
2021-05-04 17:49:58,0x170ae47ba9b913c33f038aa011b5b83935e86091,12525.33519
2021-05-04 17:51:27,0x170ae47ba9b913c33f038aa011b5b83935e86091,14525.33519
2021-05-04 17:56:34,0x170ae47ba9b913c33f038aa011b5b83935e86091,13582.47457
2021-05-04 18:03:44,0x170ae47ba9b913c33f038aa011b5b83935e86091,18865.45119
2021-05-04 18:03:44,0xf9f448a6b540d70140d6c6e2baa88510a448092e,32139.06080
2021-05-04 18:13:56,0x170ae47ba9b913c33f038aa011b5b83935e86091,22814.84929
