day,address,sum_balance
2021-05-04 14:57:30,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733,279026.51503
2021-05-04 14:57:50,0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,150254.93870
2021-05-04 15:19:59,0x648aa14e4424e0825a5ce739c8c68610e143fb79,278506.44537
2021-05-04 15:22:41,0x87e32d4631d728d6ad7ebcd133b11febc9da9b93,426054.26322
2021-05-04 15:27:12,0x1df428833f2c9fb1ef098754e5d710432450d706,191171.10174
2021-05-04 16:26:55,0x522d634b6bffb444fdbcde5932738995a4cfd1f1,164396.31365
2021-05-04 16:37:11,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,205595.47400
2021-05-04 17:04:24,0x283d37e46f7817610fa03fe8ece875a2897a8df9,193423.67433
2021-05-04 17:20:55,0xa29fddec9c36bdd680d3f5867735ff8949a7f15d,154620.06292
2021-05-04 17:24:56,0xc8d46eb7881975f9ae15216feeba2ff58e55803c,164395.27623
2021-05-04 17:27:48,0x13b0fd2b63a57eccc263662bffb2507e9c40214e,488803.70038
2021-05-04 17:44:15,0x8540f80fab2afcae8d8fd6b1557b1cf943a0999b,625000.00000
2021-05-04 17:54:02,0x138dd537d56f2f2761a6fc0a2a0ace67d55480fe,164098.61835
2021-05-04 18:31:11,0x8d3caf6b8630038eec261646a53476402c8fc739,163990.29745
2021-05-04 19:19:23,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,202012.22302
2021-05-04 19:19:57,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,204611.49021
2021-05-04 19:20:50,0x9f3a4f55dace415dce62ae09d9a3f92fc79b7705,189474.27623
2021-05-04 19:29:46,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,153930.26599
2021-05-04 19:30:18,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,150224.33722
2021-05-04 19:32:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,151224.33722
2021-05-04 19:35:59,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,206717.21073
2021-05-04 19:38:29,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,160442.34492
2021-05-04 19:38:29,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,208800.57919
2021-05-04 19:40:26,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152612.41084
2021-05-04 19:40:44,0x0c5dcfd02953f0b5ff4a2971fc2d80dddea9ab01,164396.31365
2021-05-04 19:41:17,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,169952.36614
2021-05-04 19:41:40,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,168595.66823
2021-05-04 19:44:10,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,179844.70969
2021-05-04 19:45:18,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,168463.03042
2021-05-04 19:45:42,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,162759.61304
2021-05-04 19:46:59,0x2f71129b240080c638ac8d993bff52169e3551c3,191844.55261
2021-05-04 19:46:59,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,157252.57687
2021-05-04 19:47:28,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152252.57687
2021-05-04 19:47:31,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,157185.17763
2021-05-04 19:52:07,0xa53a6fe2d8ad977ad926c485343ba39f32d3a3f6,166468.25721
2021-05-04 19:52:13,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,170170.44159
2021-05-04 19:53:05,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,163641.07924
2021-05-04 19:53:40,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,156343.13714
2021-05-04 19:57:07,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,159859.11303
2021-05-04 19:57:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,162359.11303
2021-05-04 19:58:19,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,155010.72745
2021-05-04 19:58:45,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,210678.87446
2021-05-04 19:58:46,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,161968.31827
2021-05-04 19:59:31,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,154908.09377
2021-05-04 20:00:19,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,157892.65925
2021-05-04 20:00:19,0xa679a45e9fde61846afac70c321248ad097b47b7,156773.41515
2021-05-04 20:01:29,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,157892.65925
2021-05-04 20:01:51,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,155018.92739
2021-05-04 20:01:51,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,213552.60632
2021-05-04 20:04:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,161185.40086
2021-05-04 20:06:13,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,156492.44746
2021-05-04 20:06:30,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152956.26545
2021-05-04 20:06:58,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,157956.26545
2021-05-04 20:07:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152843.82489
2021-05-04 20:08:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,151312.79200
2021-05-04 20:08:16,0xa679a45e9fde61846afac70c321248ad097b47b7,163304.44804
2021-05-04 20:09:32,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,150952.38649
2021-05-04 20:10:26,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,160081.33627
2021-05-04 20:11:12,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152996.60127
2021-05-04 20:11:49,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,162996.60127
2021-05-04 20:12:44,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,152161.75844
2021-05-04 20:14:49,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,156111.15654
2021-05-04 20:16:30,0x6018887da486cdfed5baeebfbd1fbbb34f94c7ac,253948.55246
2021-05-04 20:17:50,0x99a2ffeaf83acb11ffa9ee76821648ce96b29de0,255607.29966
2021-05-04 20:20:28,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,172482.45180
2021-05-04 20:22:59,0x1a207beefc754735871ceeb4c506686f044b1c41,179104.47762
2021-05-04 20:22:59,0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf,289534.70796
2021-05-04 20:23:03,0xf96f969b2f11dc5aea3b0bcd8e6fda4972fd8d7a,179104.47762
2021-05-04 20:24:37,0xaa7a9d80971e58641442774c373c94aafee87d66,162715.20164
2021-05-04 20:24:55,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,158231.12592
2021-05-04 20:25:19,0xc6d2edb9cfd6df27c390702be405b764c5abe97e,179104.47762
2021-05-04 20:25:35,0xa50bf5905d9f03e6b125fa7ce94f172c9df16876,253948.55246
2021-05-04 20:27:14,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,203075.20076
2021-05-04 20:27:26,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,212553.75620
2021-05-04 20:27:47,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,195273.27300
2021-05-04 20:28:25,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,229368.60292
2021-05-04 20:28:48,0x2ba4d50430a80b7def67934e44f6082c695c9786,253948.55246
2021-05-04 20:30:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,247368.60292
2021-05-04 20:31:07,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,267030.36978
2021-05-04 20:31:43,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,252646.18016
2021-05-04 20:31:43,0xbed732000f3ebdaa7c344ae53f5cd584d8d65e4f,164072.33930
2021-05-04 20:31:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,259028.39290
2021-05-04 20:31:56,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,243588.36110
2021-05-04 20:32:07,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,276640.25556
2021-05-04 20:32:17,0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab,253948.55246
2021-05-04 20:34:20,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,296640.25556
2021-05-04 20:37:01,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,278288.78506
2021-05-04 20:37:37,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,312237.33752
2021-05-04 20:37:37,0x6018887da486cdfed5baeebfbd1fbbb34f94c7ac,220000.00000
2021-05-04 20:38:26,0x283d37e46f7817610fa03fe8ece875a2897a8df9,163423.67433
2021-05-04 20:38:26,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,342237.33752
2021-05-04 20:38:37,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,329088.46102
2021-05-04 20:39:44,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,391630.92322
2021-05-04 20:40:01,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,352088.01886
2021-05-04 20:42:18,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,357088.01886
2021-05-04 20:42:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,386882.39564
2021-05-04 20:43:03,0x5115b48202ac64b338cfb7a991ec394a7508c54b,174974.27623
2021-05-04 20:43:03,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,338882.39564
2021-05-04 20:43:32,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,400068.81780
2021-05-04 20:44:04,0xa614869e9b3deec7c04383062479d9403fe6ba17,253948.55246
2021-05-04 20:44:50,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,460068.81780
2021-05-04 20:46:03,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,453322.56766
2021-05-04 20:46:03,0x88bb492695c05502cc2a7868fe4f4b5ccf1b1a75,179104.47762
2021-05-04 20:46:12,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,426483.45664
2021-05-04 20:46:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,476054.78946
2021-05-04 20:46:34,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,526899.07964
2021-05-04 20:46:38,0xf8cd644baf494d13406187cf8628754dca0a10c2,253948.55246
2021-05-04 20:46:41,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,499673.66424
2021-05-04 20:47:33,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,511533.83366
2021-05-04 20:47:51,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,531533.83366
2021-05-04 20:48:56,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,606377.90850
2021-05-04 20:49:19,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,556377.90850
