username,num_roles,content_count
Mads,2,7.0
FierceGull,4,7.0
Tunsky107.eth,1,7.0
Culture Clap,3,7.0
kohei,5,7.0
CryptoAccord,1,7.0
aegontarg,5,7.0
Bachan,1,7.0
shrimple,3,7.0
Mark O'Sullivan,4,7.0
xdamman,5,7.0
Raf,5,7.0
Tertius,1,6.0
WindWhile,6,6.0
reeves,1,6.0
Coffee & Crypto,1,6.0
twoeggs,3,6.0
bayardthewolf,1,6.0
slothkins,1,6.0
rocknstones,6,6.0
Andruno,5,6.0
patman needs no robin,1,6.0
iGolle,1,6.0
3lit3,6,6.0
Kaustubh,6,6.0
ovaaq,2,6.0
andyszy,1,6.0
Alex_S,1,6.0
anita,4,6.0
TimBalabuch.Ξth,1,6.0
Uppercut,3,6.0
aryanjain,1,6.0
RurikFire,2,6.0
DugaG23,4,6.0
Suloo,4,6.0
AustinFoss,5,6.0
seaweedseaswimmer,6,6.0
Bloodreaper,5,5.0
perritoDOG,4,5.0
JianDa,4,5.0
Sheun4u,4,5.0
Bludex,1,5.0
Anrelins,5,5.0
melon lord,1,5.0
Lycan,1,5.0
shu5,3,5.0
wefromstars,5,5.0
retti.eth👣🏴,1,5.0
sufo,1,5.0
Boosteau,5,5.0
Tarra,1,5.0
AzOgZ,5,5.0
Stef,1,5.0
Devin_S,1,5.0
Wonder,6,5.0
GC,1,5.0
Stim_simpsons,1,5.0
DrNick,3,5.0
mario lopes,1,5.0
Jensinious,1,5.0
Lin,3,5.0
John3975,1,5.0
30abeeguy,2,5.0
Chapter10.x,1,5.0
SalmonCrunchzz,1,5.0
orishim,1,5.0
fakeTiki,7,5.0
moonsafari_,5,5.0
NoQuarter4U,1,5.0
jasonli,1,4.0
Neel,3,4.0
burr,1,4.0
thor314,1,4.0
JBaptiste,5,4.0
rdelatower🏴,1,4.0
frankun,1,4.0
alacrity,1,4.0
roam,1,4.0
Dave | Eco,4,4.0
ancienciq,1,4.0
ERebels,4,4.0
mohanlal,1,4.0
Original Joaquín,3,4.0
Cryptodrifter.eth,6,4.0
Dhannte,2,4.0
B3ARhunter,1,4.0
Chris_90,1,4.0
Mai WILL NEVER DM YOU 1ST,1,4.0
nftbits.eth,1,4.0
VeganHODL,4,4.0
arose,1,4.0
adityataday,2,4.0
Aiimen,1,4.0
davidbm,5,4.0
beeman,5,4.0
Miguel Buffara,1,4.0
Chris2pherChase,6,4.0
MEHDIAG,2,4.0
mrid.eth,4,4.0
zapnap,1,4.0
Marc Johnson,5,4.0
andy|2149.io,1,4.0
derk23,6,4.0
intergalactictrashcompactor,1,4.0
wbeuil,6,4.0
hersh4786,2,4.0
klinko,1,4.0
xSlomenXツ,2,3.0
buller42,5,3.0
KD,1,3.0
abonhomme,1,3.0
DrGoodVibes.eth,1,3.0
Brian Sander,1,3.0
Corw,6,3.0
TheRightOne,2,3.0
ChopNoc,1,3.0
commam7109,6,3.0
iamxen1,4,3.0
Jim S,2,3.0
space-yeti,5,3.0
nightmaredevil_24,1,3.0
Karak,1,3.0
kaxline,2,3.0
"yal j (tres,tree)",5,3.0
daodash_bot,8,3.0
Cryptato🍄,1,3.0
t3rtium,3,3.0
klobbermeister,5,3.0
Derrick,1,3.0
TRUTH,1,3.0
BigSmoke,5,3.0
uniforth,1,3.0
coincidence,4,3.0
Eason,1,3.0
influenza,6,3.0
marc,5,3.0
WaKa,4,3.0
emsu,6,3.0
88robbo,2,3.0
arch,1,3.0
RonaldPhone | elmit-ai.eth,5,3.0
noahxlaurent,1,3.0
DoneDealDicsord,2,3.0
Qaybac,1,3.0
Cameron,1,3.0
perbruno,6,3.0
"zirenz(👾, 👾)",5,3.0
yoni9091,1,3.0
gno.thyself,1,3.0
threepanelcrimes,1,3.0
"ING (58,-24)",1,3.0
miloops,1,3.0
ahdai,5,3.0
ke,4,3.0
kodysale,5,3.0
Reisr,1,3.0
Anonymouse,3,3.0
Shoosh,1,3.0
raz,1,3.0
WGMImom,1,3.0
rodolfusᴳᴳ,1,3.0
Achillesfleece,1,3.0
sailin,1,3.0
ImQuokka,1,3.0
"Sir Tweakalot (🌲,🌲)",1,3.0
JayField,4,3.0
Kal,1,3.0
Lionking,6,3.0
Bitkubintern,2,3.0
Sj,6,3.0
BerZerk,6,3.0
andres_sidek369,1,2.0
BlueMagic,1,2.0
alphazwest,1,2.0
sechtman,3,2.0
m4cd4r4,2,2.0
jerminchi,1,2.0
Alogi,1,2.0
tauliiuu,6,2.0
eldrmozz,2,2.0
cristianfilimon,1,2.0
garfield,5,2.0
nix,1,2.0
CaptainPlanet,6,2.0
matt_the_infinite,6,2.0
david_w,1,2.0
VeachTech,1,2.0
Mike | EVOS,2,2.0
max,2,2.0
