direction,from_address,readable,entity_type,amount_display,timestamp_display,to_address,human_readable
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,130000.00000,2021-10-28 19:06:56,0x8a3dae25c39b114a0b86e4e7900cb3c29bd8f637,BountyBoard
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,169000.00000,2021-10-28 19:06:56,0x8a3dae25c39b114a0b86e4e7900cb3c29bd8f637,BountyBoard
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,1021000.00000,2021-11-12 13:19:12,0x8a3dae25c39b114a0b86e4e7900cb3c29bd8f637,BountyBoard
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,55000.00000,2021-11-03 16:12:19,0xe2d721c126150beee3c56a1ad71a2e0e29a411f0,A/V Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,5000.00000,2021-12-16 08:18:03,0xe2d721c126150beee3c56a1ad71a2e0e29a411f0,A/V Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,870000.00000,2021-10-28 19:06:56,0x3aef6716a492d5be3d8a785b4998b94d5171b732,DaoDash
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,140000.00000,2021-10-28 19:06:56,0xb048405efb54e8dce9b9e49eef20acda2a9632d9,FightClub
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,632276.00000,2021-10-20 01:00:19,0x1cda4074cf556aa61009d5ddbbba41d10d2dcd82,Content Gateway
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,7000.00000,2021-12-01 08:00:16,0xe7636c7ef670a3bcf772d9d57244c9e88ad90437,Writers Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,10000.00000,2021-10-20 01:04:39,0xe5a64fc0d3396d11eb63d728791577e254ac18ca,Marketing Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,224000.00000,2021-10-28 19:06:56,0xe5a64fc0d3396d11eb63d728791577e254ac18ca,Marketing Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,997273.00000,2021-10-07 17:58:47,0x4e9a76b83f54fc06b133e5e23988785570ee77d4,S1 Coordinape
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,97644.00000,2021-11-24 09:10:19,0x998b56602b91fe56a9d8970192075cea4c89d29a,DAO Punks
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,70000.00000,2021-10-19 23:17:42,0x984ec14dc726b75ca3eb6a94c64d165d37ea823e,Legal Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,1020000.00000,2021-10-28 19:06:56,0x9d20fe66ec5dd15a3d3213556534c77ca20318be,Balancer Liquidity Mining Program Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,532000.00000,2021-11-03 16:12:19,0xe2c3177e57e545ba654083ae37ac717dd2564ffd,International Media Node Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,150000.00000,2021-11-03 16:12:19,0x6ce58155605636286da7cfb7161816f04a398ca8,Book Club Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,375000.00000,2021-12-01 08:00:16,0x77aeb46470969a68566db09383bcdac2325af0e5,Podcast Hatchery Multisig
